scale,class,statistic,rank,group_1,group_2,frequency
latitude,C3,nearest_pair_frequency,1,23-24N,24-26N,0.5644666666666667
latitude,C3,nearest_pair_frequency,2,24-26N,26-28N,0.2466666666666667
latitude,C3,nearest_pair_frequency,3,24-26N,28-30N,0.09553333333333333
latitude,C3,nearest_pair_frequency,4,23-24N,30-32N,0.04396666666666667
latitude,C3,nearest_pair_frequency,5,26-28N,28-30N,0.0429
latitude,C3,nearest_pair_frequency,6,26-28N,30-32N,0.004666666666666667
latitude,C3,nearest_pair_frequency,7,23-24N,26-28N,0.001
latitude,C3,nearest_pair_frequency,8,28-30N,30-32N,0.0006
latitude,C3,nearest_pair_frequency,9,24-26N,30-32N,0.0002
latitude,C3,most_distinct_group_frequency,1,28-30N,,0.6159
latitude,C3,most_distinct_group_frequency,2,30-32N,,0.225
latitude,C3,most_distinct_group_frequency,3,23-24N,,0.1003
latitude,C3,most_distinct_group_frequency,4,26-28N,,0.0582
latitude,C3,most_distinct_group_frequency,5,24-26N,,0.0006
latitude,N0,nearest_pair_frequency,1,24-26N,26-28N,0.4714666666666666
latitude,N0,nearest_pair_frequency,2,23-24N,24-26N,0.4057666666666667
latitude,N0,nearest_pair_frequency,3,26-28N,28-30N,0.06246666666666668
latitude,N0,nearest_pair_frequency,4,28-30N,30-32N,0.0488
latitude,N0,nearest_pair_frequency,5,24-26N,28-30N,0.0058
latitude,N0,nearest_pair_frequency,6,23-24N,26-28N,0.0052
latitude,N0,nearest_pair_frequency,7,24-26N,30-32N,0.0005
latitude,N0,most_distinct_group_frequency,1,30-32N,,0.8656
latitude,N0,most_distinct_group_frequency,2,23-24N,,0.1078
latitude,N0,most_distinct_group_frequency,3,28-30N,,0.0222
latitude,N0,most_distinct_group_frequency,4,26-28N,,0.0042
latitude,N0,most_distinct_group_frequency,5,24-26N,,0.0002
ecoregion,C3,nearest_pair_frequency,1,Costa Central del Golfo,Matorrales Tropicales,0.2841666666666666
ecoregion,C3,nearest_pair_frequency,2,Matorral Costero,Matorrales Tropicales,0.12213333333333333
ecoregion,C3,nearest_pair_frequency,3,Desierto Central,Desierto de San Felipe,0.11504999999999997
