predictor,domain,n_cells,mean_raw,sd_raw,min_raw,max_raw
tmean_c,thermal,189,20.870862782379415,2.4430357062747765,14.2739409039667,24.946619639867
tseason_monthly_sd_c,thermal,189,4.368631377451784,1.1749920375976526,2.102145510495,7.25575846268057
precip_annual_mean_mm,moisture,189,168.65211760049218,83.68449934297763,63.2419869577876,434.125528549349
precip_interannual_cv_pct,moisture,189,43.40479223909133,10.686137109615746,24.7848732293799,68.409503054145
vpd_mean_kpa,moisture,189,1.2758175256521973,0.35559584832562163,0.467208275179868,2.36989527495693
soil_water_mean_frac,moisture,189,0.057422849345681044,0.038833032439920784,0.0194073954509684,0.183224540155382
wind_speed_mean_ms,wind,189,2.1398925249245235,1.0023104360316675,0.539398797073187,4.90338234337011
wind_monthly_sd_ms,wind,189,0.5630412389685531,0.1941400713381944,0.201046871138619,1.13277399902854
evi_mean,vegetation,189,0.12645003589435583,0.04577482625152179,0.0464870226333477,0.301028323775536
evi_interannual_cv_pct,vegetation,189,38.31748985610865,47.410210710589126,7.57877153791546,344.342869687451
