dataset,variable,n,mean,sd,median,q025,q975,min,max
all_pairs,geographic_distance_km,17766,419.06350107620483,281.14826263832856,369.251765010221,35.378814596013605,1033.7780072934788,24.98459865960206,1235.638705697706
all_pairs,envdist_primary_balanced,17766,1.217366654820652,0.4735064880260991,1.1828534671131292,0.3771634720863666,2.2252248093363236,0.0886327428642329,3.0128694994310945
all_pairs,envdist_thermal,17766,1.2601114216304297,0.6419831800410806,1.2410637175032244,0.18534984653736034,2.513843523726563,0.0053891314128463,3.5462016571053505
all_pairs,envdist_moisture,17766,1.2789748703859383,0.6035261247177697,1.2311966039262208,0.2807625406726509,2.5155131958201578,0.0185429758353539,3.442462441186245
all_pairs,envdist_wind,17766,1.208543897396927,0.7344739698292134,1.081924481822933,0.16315687693232037,2.8990796763391455,0.0179518784625488,4.312134236190625
all_pairs,envdist_vegetation,17766,1.1218364298693138,0.8611183211601624,0.9207600833364091,0.09291907875010817,3.3925577114979433,0.0035167550467609,5.927553817965949
all_pairs,primary_strict_cross_count,17766,0.5573567488461105,0.6708541032591223,0.0,0.0,2.0,0.0,2.0
all_pairs,primary_any_strict_cross,17766,0.45570190251041315,0.4980478297448154,0.0,0.0,1.0,0.0,1.0
all_pairs,B01_strict_cross,17766,0.17494089834515367,0.37992723672260403,0.0,0.0,1.0,0.0,1.0
all_pairs,B03_strict_cross,17766,0.3824158505009569,0.4859910103361813,0.0,0.0,1.0,0.0,1.0
all_pairs,B02_strict_cross,17766,0.42350557244174264,0.4941278638058975,0.0,0.0,1.0,0.0,1.0
all_pairs,B04_strict_cross,17766,0.38613081166272656,0.4868748819657914,0.0,0.0,1.0,0.0,1.0
all_pairs,C3_jaccard,16590,0.9393363328910418,0.14373666953996825,1.0,0.5,1.0,0.0,1.0
all_pairs,N0_jaccard,17576,0.9408300315396144,0.1143629428901964,1.0,0.6666666666666666,1.0,0.0,1.0
all_pairs,C3_simpson_replacement,16590,0.3812452802216712,0.4562801610000786,0.0,0.0,1.0,0.0,1.0
all_pairs,N0_simpson_replacement,17576,0.6132239047752025,0.4309888569399507,0.8,0.0,1.0,0.0,1.0
all_pairs,delta_jaccard_C3_minus_N0,16400,-0.0003970707134735593,0.17408104833753188,0.0,-0.5,0.3333333333333333,-1.0,1.0
all_pairs,delta_simpson_C3_minus_N0,16400,-0.21804151329988428,0.6742659864004567,0.0,-1.0,1.0,-1.0,1.0
paired_valid,geographic_distance_km,16400,423.36689654838756,283.8590623080203,371.7311444244515,35.37850925486551,1035.331633431407,24.98459865960206,1235.638705697706
paired_valid,envdist_primary_balanced,16400,1.2280101069711,0.4743399631354293,1.1939483325404174,0.3836291596919835,2.2397591804437273,0.0886327428642329,3.0128694994310945
paired_valid,envdist_thermal,16400,1.2654642324123144,0.643859998309732,1.2500383814737783,0.18386928662428872,2.520398311425696,0.0053891314128463,3.5462016571053505
paired_valid,envdist_moisture,16400,1.2928662592270972,0.6061899023501615,1.2467120646870957,0.28477789822489075,2.5342429906501533,0.0514672409432988,3.442462441186245
paired_valid,envdist_wind,16400,1.2147434444208385,0.737523471464283,1.087979039400748,0.16271524868245396,2.903493899023648,0.0179518784625488,4.312134236190625
paired_valid,envdist_vegetation,16400,1.1389664918241498,0.871036827063203,0.9352086254594327,0.09431978770279631,3.410848567843793,0.0035167550467609,5.927553817965949
paired_valid,primary_strict_cross_count,16400,0.5664634146341463,0.6757115249016992,0.0,0.0,2.0,0.0,2.0
paired_valid,primary_any_strict_cross,16400,0.4609756097560976,0.49848996873807805,0.0,0.0,1.0,0.0,1.0
paired_valid,B01_strict_cross,16400,0.1797560975609756,0.38399587755220327,0.0,0.0,1.0,0.0,1.0
paired_valid,B03_strict_cross,16400,0.38670731707317074,0.48701050311407085,0.0,0.0,1.0,0.0,1.0
paired_valid,B02_strict_cross,16400,0.42378048780487804,0.49417150518678776,0.0,0.0,1.0,0.0,1.0
paired_valid,B04_strict_cross,16400,0.3927439024390244,0.4883755449136474,0.0,0.0,1.0,0.0,1.0
paired_valid,C3_jaccard,16400,0.9394262050403892,0.14220191057052034,1.0,0.5,1.0,0.0,1.0
paired_valid,N0_jaccard,16400,0.9398232757538628,0.11352792904970892,1.0,0.6666666666666666,1.0,0.0,1.0
paired_valid,C3_simpson_replacement,16400,0.37499141456570273,0.45425326503326224,0.0,0.0,1.0,0.0,1.0
paired_valid,N0_simpson_replacement,16400,0.593032927865587,0.4335696556792976,0.75,0.0,1.0,0.0,1.0
paired_valid,delta_jaccard_C3_minus_N0,16400,-0.0003970707134735593,0.17408104833753188,0.0,-0.5,0.3333333333333333,-1.0,1.0
paired_valid,delta_simpson_C3_minus_N0,16400,-0.21804151329988428,0.6742659864004567,0.0,-1.0,1.0,-1.0,1.0
