spec_name,spec_family,analysis_status,metric,n_cells,n_pairs,environment_variable,boundary_1_variable,boundary_2_variable,model_R2,beta_environment,beta_boundary_1,beta_boundary_2
threshold_ge_1_primary,cell_threshold,PRIMARY_REPLICATION,simpson_replacement,120,7140,envdist_primary_balanced,B01_strict_cross,B03_strict_cross,0.014527511136821714,-0.02364867219185452,-0.008818500876612782,0.005620140691560746
threshold_ge_2_primary,cell_threshold,SENSITIVITY,simpson_replacement,70,2415,envdist_primary_balanced,B01_strict_cross,B03_strict_cross,0.05267270285247139,0.02377641530069232,0.11714121769388519,0.0756376605872763
threshold_ge_3_primary,cell_threshold,SENSITIVITY,simpson_replacement,46,1035,envdist_primary_balanced,B01_strict_cross,B03_strict_cross,0.09833602288095322,0.015428622065481212,0.07808370433159881,-0.11539263356352325
touches_or_crosses_B01_B03,boundary_coding,SENSITIVITY,simpson_replacement,120,7140,envdist_primary_balanced,B01_touches_or_crosses,B03_touches_or_crosses,0.016692898895672714,-0.022469581386273547,0.05465574482996263,0.02487304695344079
thermal_only,environment_domain,SENSITIVITY,simpson_replacement,120,7140,envdist_thermal,B01_strict_cross,B03_strict_cross,0.020253855575987134,-0.056003591495469955,-0.029594490543072137,0.02833387408728722
moisture_only,environment_domain,SENSITIVITY,simpson_replacement,120,7140,envdist_moisture,B01_strict_cross,B03_strict_cross,0.019766336507137883,-0.04783752116580571,-0.00930021792893615,-0.015693986513555726
wind_only,environment_domain,SENSITIVITY,simpson_replacement,120,7140,envdist_wind,B01_strict_cross,B03_strict_cross,0.01425240992755672,-0.0191379222138251,-0.014360920563469045,0.004295438447750344
vegetation_only,environment_domain,SENSITIVITY,simpson_replacement,120,7140,envdist_vegetation,B01_strict_cross,B03_strict_cross,0.015977245278043117,0.029521920565892798,-0.029061353221908892,0.0174194612793827
secondary_B02_Loreto_B04_North,secondary_contextual_boundaries,EXPLORATORY,simpson_replacement,120,7140,envdist_primary_balanced,B02_strict_cross,B04_strict_cross,0.01817146815478754,-0.023446373604198448,-0.01285470847383636,-0.07848112366070463
threshold_ge_1_primary,cell_threshold,PRIMARY_REPLICATION,jaccard_total,120,7140,envdist_primary_balanced,B01_strict_cross,B03_strict_cross,0.006794101646997119,0.004478019649528676,0.015027471592437312,-0.01738349591849995
threshold_ge_2_primary,cell_threshold,SENSITIVITY,jaccard_total,70,2415,envdist_primary_balanced,B01_strict_cross,B03_strict_cross,0.046474641616288115,0.020858797464169437,0.04952895396394879,-0.0021780239779058373
threshold_ge_3_primary,cell_threshold,SENSITIVITY,jaccard_total,46,1035,envdist_primary_balanced,B01_strict_cross,B03_strict_cross,0.10163454917977022,0.015996025171455104,0.03171243428853006,-0.0697258826752755
touches_or_crosses_B01_B03,boundary_coding,SENSITIVITY,jaccard_total,120,7140,envdist_primary_balanced,B01_touches_or_crosses,B03_touches_or_crosses,0.010267734187506927,0.005196194650351968,0.028875083546758273,-0.015842336254012625
thermal_only,environment_domain,SENSITIVITY,jaccard_total,120,7140,envdist_thermal,B01_strict_cross,B03_strict_cross,0.012046734111384239,-0.01983185775894691,0.009428962660660872,-0.01408523899749219
moisture_only,environment_domain,SENSITIVITY,jaccard_total,120,7140,envdist_moisture,B01_strict_cross,B03_strict_cross,0.006480815064608958,0.0014810136751114231,0.015554943895775861,-0.018106591361766015
wind_only,environment_domain,SENSITIVITY,jaccard_total,120,7140,envdist_wind,B01_strict_cross,B03_strict_cross,0.0071504332699456885,-0.005637198296475189,0.0149608160786745,-0.021998742161746004
vegetation_only,environment_domain,SENSITIVITY,jaccard_total,120,7140,envdist_vegetation,B01_strict_cross,B03_strict_cross,0.016169298546333644,0.021306896296849575,0.0033657717701068967,-0.01682227278059314
secondary_B02_Loreto_B04_North,secondary_contextual_boundaries,EXPLORATORY,jaccard_total,120,7140,envdist_primary_balanced,B02_strict_cross,B04_strict_cross,0.007396823867456326,0.006452939304290076,-0.0017626325725869784,-0.02464522719688185
