grid_cell_id,grid_cell_order,centroid_latitude,centroid_longitude,latitude_band,C3_richness,N0_richness,classified_richness_C3_plus_N0,C3_fraction
BJA25K_C+0013_R-0020,1,23.0758711,-110.2025688,23-24N,0,1,1,0.0
BJA25K_C+0014_R-0020,2,23.0699,-109.9583628,23-24N,0,1,1,0.0
BJA25K_C+0015_R-0020,3,23.0635028,-109.714167,23-24N,18,32,50,0.36
BJA25K_C+0016_R-0020,4,23.0566794,-109.4699823,23-24N,3,6,9,0.3333333333333333
BJA25K_C+0013_R-0019,5,23.3007157,-110.1967726,23-24N,13,10,23,0.5652173913043478
BJA25K_C+0014_R-0019,6,23.2947229,-109.9521386,23-24N,6,8,14,0.42857142857142855
BJA25K_C+0015_R-0019,7,23.2883023,-109.7075151,23-24N,9,13,22,0.4090909090909091
BJA25K_C+0016_R-0019,8,23.2814541,-109.4629028,23-24N,4,3,7,0.5714285714285714
BJA25K_C+0013_R-0018,9,23.5255433,-110.190919,23-24N,25,21,46,0.5434782608695652
BJA25K_C+0014_R-0018,10,23.5195285,-109.9458527,23-24N,12,22,34,0.35294117647058826
BJA25K_C+0015_R-0018,11,23.5130845,-109.7007972,23-24N,15,21,36,0.4166666666666667
BJA25K_C+0016_R-0018,12,23.5062112,-109.4557532,23-24N,9,16,25,0.36
BJA25K_C+0012_R-0017,13,23.7559605,-110.4305208,23-24N,0,1,1,0.0
BJA25K_C+0013_R-0017,14,23.7503546,-110.1850075,23-24N,14,15,29,0.4827586206896552
BJA25K_C+0014_R-0017,15,23.7443178,-109.9395046,23-24N,22,23,45,0.4888888888888889
BJA25K_C+0015_R-0017,16,23.73785,-109.6940128,23-24N,3,7,10,0.3
BJA25K_C+0010_R-0016,17,23.9907325,-110.9169296,23-24N,1,2,3,0.3333333333333333
BJA25K_C+0011_R-0016,18,23.9859712,-110.6709562,23-24N,0,3,3,0.0
BJA25K_C+0012_R-0016,19,23.9807772,-110.4249919,23-24N,8,11,19,0.42105263157894735
BJA25K_C+0013_R-0016,20,23.9751506,-110.1790375,23-24N,34,24,58,0.5862068965517241
BJA25K_C+0014_R-0016,21,23.9690914,-109.9330937,23-24N,10,11,21,0.47619047619047616
BJA25K_C+0010_R-0015,23,24.2155717,-110.9122379,24-26N,0,1,1,0.0
BJA25K_C+0011_R-0015,24,24.2107927,-110.6658185,24-26N,5,5,10,0.5
BJA25K_C+0012_R-0015,25,24.2055794,-110.4194085,24-26N,14,31,45,0.3111111111111111
BJA25K_C+0013_R-0015,26,24.199932,-110.1730086,24-26N,29,24,53,0.5471698113207547
BJA25K_C+0014_R-0015,27,24.1938504,-109.9266196,24-26N,2,5,7,0.2857142857142857
BJA25K_C+0007_R-0014,28,24.4521722,-111.648158,24-26N,4,8,12,0.3333333333333333
BJA25K_C+0008_R-0014,29,24.4486833,-111.4012646,24-26N,0,2,2,0.0
BJA25K_C+0009_R-0014,30,24.4447584,-111.1543783,24-26N,2,1,3,0.6666666666666666
BJA25K_C+0010_R-0014,31,24.4403975,-110.9074999,24-26N,0,5,5,0.0
BJA25K_C+0011_R-0014,32,24.4356008,-110.6606302,24-26N,1,1,2,0.5
BJA25K_C+0006_R-0013,36,24.680094,-111.8920942,24-26N,2,4,6,0.3333333333333333
BJA25K_C+0007_R-0013,37,24.6770297,-111.644739,24-26N,6,8,14,0.42857142857142855
BJA25K_C+0008_R-0013,38,24.6735278,-111.3973902,24-26N,1,1,2,0.5
BJA25K_C+0010_R-0013,39,24.665211,-110.9027152,24-26N,1,0,1,1.0
BJA25K_C+0011_R-0013,40,24.6603964,-110.6553907,24-26N,0,2,2,0.0
BJA25K_C+0005_R-0012,41,24.9075882,-112.1369225,24-26N,1,4,5,0.2
BJA25K_C+0006_R-0012,42,24.9049518,-111.8891016,24-26N,1,6,7,0.14285714285714285
BJA25K_C+0008_R-0012,43,24.8983609,-111.3934777,24-26N,0,1,1,0.0
BJA25K_C+0010_R-0012,44,24.890013,-110.8978835,24-26N,2,2,4,0.5
BJA25K_C+0011_R-0012,45,24.8851803,-110.6500996,24-26N,1,4,5,0.2
BJA25K_C+0005_R-0011,46,25.1324457,-112.1343651,24-26N,0,6,6,0.0
BJA25K_C+0006_R-0011,47,25.1297994,-111.8860795,24-26N,0,5,5,0.0
BJA25K_C+0007_R-0011,48,25.126712,-111.6377997,24-26N,1,5,6,0.16666666666666666
BJA25K_C+0008_R-0011,49,25.1231837,-111.3895266,24-26N,1,0,1,1.0
BJA25K_C+0007_R-0010,50,25.3515385,-111.6342788,24-26N,1,1,2,0.5
BJA25K_C+0009_R-0010,51,25.3440127,-111.1368025,24-26N,0,1,1,0.0
BJA25K_C+0005_R-0009,52,25.5821337,-112.1291747,24-26N,1,0,1,1.0
