variable,n,mean,sd,median,min,max
distance_to_Mulege_km,189,335.41439681581676,190.6795614956505,303.25803130415903,12.562794401380918,742.0319941243263
ecoregion_overlap_count_any,189,1.7142857142857142,0.7874393883173206,2.0,1.0,4.0
ecoregion_overlap_count_ge1pct_mapped,189,1.6666666666666667,0.7365821009835642,2.0,1.0,4.0
ecoregion_overlap_count_ge5pct_mapped,189,1.529100529100529,0.6648065911751563,1.0,1.0,4.0
ecoregion_effective_number,189,1.3830480401517082,0.5059093776491355,1.1279264110567915,1.0,3.838119300586929
ecoregion_overlap_simpson_diversity,189,0.16645575776038582,0.20429826091847317,0.05055945513805282,0.0,0.728825111859623
local_unique_dominant_ecoregions_focal_plus_neighbors,189,1.6243386243386244,0.6931582144471379,2.0,1.0,4.0
adjacent_cross_boundary_fraction,185,0.2788288288288288,0.3096097904666252,0.25,0.0,1.0
local_distinct_ecoregion_interfaces,189,0.6243386243386243,0.6931582144471379,1.0,0.0,3.0
inverse_dominant_fraction,189,0.12105362697595384,0.1645991813751615,0.025953301423822017,0.0,0.6393715178904029
ecoregion_junction_score_primary,189,-0.0018111034144483685,0.8840261461801339,-0.22827258992313154,-0.8397942072670942,3.2237332025139294
