term,bootstrap_valid,bootstrap_ci_low_2p5,bootstrap_ci_high_97p5,bootstrap_p_two_sided_sign,bootstrap_probability_positive,spec_name,spec_family,analysis_status,min_classified_richness,include_environment_PCs,n_cells,n_geographic_blocks,n_bootstrap_requested
Mulege_75km,1927,-0.24159483022568506,1.1630977559766238,0.3516597510373444,0.8246887966804979,PRIMARY_Mulege_75km,fixed_focal_anomaly,PRIMARY_EXPLORATORY,1,False,189,27,1999
junction_score,1999,-0.03661668654030413,0.19431758998802004,0.122,0.9395,PRIMARY_junction_score,ecoregion_junction,PRIMARY_EXPLORATORY,1,False,189,27,1999
Costa_Golfo_Giganta_overlap,1991,-0.5094471560928517,0.2140719534777712,0.3373493975903614,0.1686746987951807,PRIMARY_Costa_Golfo_x_Giganta_overlap,ecoregion_interface,PRIMARY_EXPLORATORY,1,False,189,27,1999
Mulege_75km,1911,-0.17906964694204164,1.186234210357819,0.3075313807531381,0.8467573221757322,PRIMARY_Mulege75_plus_junction,joint_local_and_junction,PRIMARY_EXPLORATORY,1,False,189,27,1999
junction_score,1911,-0.04143694984068947,0.1959521826791355,0.13179916317991633,0.9346234309623431,PRIMARY_Mulege75_plus_junction,joint_local_and_junction,PRIMARY_EXPLORATORY,1,False,189,27,1999
Mulege_50km,1907,-0.1534986355283119,0.49079751759263845,0.34067085953878407,0.8301886792452831,SENS_radius_50km,focal_radius,SENSITIVITY,1,False,189,27,1999
Mulege_100km,1910,-0.24824190824318842,0.9348102326279144,0.5190999476713762,0.7409733124018838,SENS_radius_100km,focal_radius,SENSITIVITY,1,False,189,27,1999
Mulege_125km,1998,-0.1987243642354012,0.991054556211132,0.28414207103551775,0.8584292146073037,SENS_radius_125km,focal_radius,SENSITIVITY,1,False,189,27,1999
Mulege_75km,1909,-0.1545862333518533,1.3230625026719338,0.28167539267015707,0.8596858638743455,SENS_Mulege75_min5,denominator_threshold,SENSITIVITY,5,False,90,25,1999
junction_score,1999,-0.017721389040992425,0.2339953011841391,0.084,0.9585,SENS_junction_min5,denominator_threshold,SENSITIVITY,5,False,90,25,1999
Mulege_75km,1756,-0.1968822730356039,2.075701662995252,0.16505406943653955,0.9180421172453045,SENS_Mulege75_min10,denominator_threshold,SENSITIVITY,10,False,43,14,1999
junction_score,1999,-0.033974100498449455,0.3104506079626475,0.096,0.9525,SENS_junction_min10,denominator_threshold,SENSITIVITY,10,False,43,14,1999
Mulege_75km,1898,-0.47105163766785585,0.9525679967172729,0.6845708267509215,0.6582411795681938,SENS_Mulege75_environment_PCs,environment_adjusted,SENSITIVITY,1,True,189,27,1999
junction_score,1999,-0.13409073305280203,0.20143295442779388,0.5,0.7505,SENS_junction_environment_PCs,environment_adjusted,SENSITIVITY,1,True,189,27,1999
