spec_name,spec_family,analysis_status,min_classified_richness,include_environment_PCs,n_cells,n_focal_50km,n_focal_75km,n_focal_100km,n_focal_125km,term,beta_log_odds,odds_ratio,quasibinomial_se_diagnostic,quasibinomial_z_diagnostic,quasibinomial_p_diagnostic,overdispersion_phi,AIC_reduced_descriptive,AIC_full_descriptive,delta_AIC_full_minus_reduced,converged,bootstrap_valid,bootstrap_ci_low_2p5,bootstrap_ci_high_97p5,bootstrap_p_two_sided_sign,bootstrap_probability_positive,n_geographic_blocks,n_bootstrap_requested
PRIMARY_Mulege_75km,fixed_focal_anomaly,PRIMARY_EXPLORATORY,1,False,189,9,13,22,29,Mulege_75km,0.4264947732170894,1.5318785201254181,0.3128384103835957,1.363306931185754,0.17278579851058046,1.074992239970583,1944.5319009241075,1944.5826711617576,0.050770237650112904,True,1927,-0.24159483022568506,1.1630977559766238,0.3516597510373444,0.8246887966804979,27,1999
PRIMARY_junction_score,ecoregion_junction,PRIMARY_EXPLORATORY,1,False,189,9,13,22,29,junction_score,0.12572307723963005,1.1339681032218345,0.05904329254920186,2.1293371661965277,0.03322637494760671,1.053905482261314,1944.5319009241075,1941.7433252944334,-2.788575629674142,True,1999,-0.03661668654030413,0.19431758998802004,0.122,0.9395,27,1999
PRIMARY_Costa_Golfo_x_Giganta_overlap,ecoregion_interface,PRIMARY_EXPLORATORY,1,False,189,9,13,22,29,Costa_Golfo_Giganta_overlap,-0.10663408891440262,0.8988545136542997,0.26310495501106596,-0.4052910706676645,0.6852635693039886,1.081531861640374,1944.5319009241075,1946.3529600821958,1.8210591580882465,True,1991,-0.5094471560928517,0.2140719534777712,0.3373493975903614,0.1686746987951807,27,1999
PRIMARY_Mulege75_plus_junction,joint_local_and_junction,PRIMARY_EXPLORATORY,1,False,189,9,13,22,29,Mulege_75km,0.46634753265201123,1.5941609260634668,0.30995440781058103,1.5045681587370907,0.13243513768968418,1.0500797527014247,1944.5319009241075,1941.4291436980225,-3.102757226085032,True,1911,-0.17906964694204164,1.186234210357819,0.3075313807531381,0.8467573221757322,27,1999
PRIMARY_Mulege75_plus_junction,joint_local_and_junction,PRIMARY_EXPLORATORY,1,False,189,9,13,22,29,junction_score,0.13070199186391518,1.1396281122528702,0.05906870503231146,2.21271131290959,0.02691755494858886,1.0500797527014247,1944.5319009241075,1941.4291436980225,-3.102757226085032,True,1911,-0.04143694984068947,0.1959521826791355,0.13179916317991633,0.9346234309623431,27,1999
SENS_radius_50km,focal_radius,SENSITIVITY,1,False,189,9,13,22,29,Mulege_50km,0.1880975027499563,1.2069511906728319,0.41158775734746406,0.45700461054084174,0.647667731594705,1.082649091153405,1944.5319009241075,1946.3095031354499,1.777602211342355,True,1907,-0.1534986355283119,0.49079751759263845,0.34067085953878407,0.8301886792452831,27,1999
SENS_radius_100km,focal_radius,SENSITIVITY,1,False,189,9,13,22,29,Mulege_100km,0.2400130895927748,1.2712657905640043,0.24997943491522567,0.9601313391006315,0.33698911761803335,1.080379217001774,1944.5319009241075,1945.5470679658652,1.0151670417576497,True,1910,-0.24824190824318842,0.9348102326279144,0.5190999476713762,0.7409733124018838,27,1999
SENS_radius_125km,focal_radius,SENSITIVITY,1,False,189,9,13,22,29,Mulege_125km,0.2599185514414586,1.2968244578813983,0.2305923621756911,1.1271776263058684,0.25966738808660256,1.0791647821723096,1944.5319009241075,1945.1719221642884,0.6400212401808858,True,1998,-0.1987243642354012,0.991054556211132,0.28414207103551775,0.8584292146073037,27,1999
SENS_Mulege75_min5,denominator_threshold,SENSITIVITY,5,False,90,4,8,12,14,Mulege_75km,0.46381834970312896,1.590134095873178,0.3499455984911601,1.325401295809827,0.1850380874607509,1.1270646317458333,1675.0964559204567,1675.1667842334602,0.07032831300352882,True,1909,-0.1545862333518533,1.3230625026719338,0.28167539267015707,0.8596858638743455,25,1999
SENS_junction_min5,denominator_threshold,SENSITIVITY,5,False,90,4,8,12,14,junction_score,0.15630810160405345,1.1691863757999466,0.06894438344033162,2.2671622227114607,0.02338031763976513,1.0959658044845122,1675.0964559204567,1671.439328342505,-3.657127577951769,True,1999,-0.017721389040992425,0.2339953011841391,0.084,0.9585,25,1999
SENS_Mulege75_min10,denominator_threshold,SENSITIVITY,10,False,43,1,2,4,5,Mulege_75km,0.9407415142424203,2.561880384979691,0.5260871052886116,1.7881858437232159,0.07374602944265755,1.1193688552907926,1346.0295236255877,1344.43971719017,-1.5898064354175858,True,1756,-0.1968822730356039,2.075701662995252,0.16505406943653955,0.9180421172453045,14,1999
SENS_junction_min10,denominator_threshold,SENSITIVITY,10,False,43,1,2,4,5,junction_score,0.17618031131812784,1.192653088114351,0.07874093914441256,2.2374677420980387,0.02525578535351301,1.080776319462729,1346.0295236255877,1342.585095936331,-3.4444276892565995,True,1999,-0.033974100498449455,0.3104506079626475,0.096,0.9525,14,1999
SENS_Mulege75_environment_PCs,environment_adjusted,SENSITIVITY,1,True,189,9,13,22,29,Mulege_75km,0.2698875361253983,1.3098171353395127,0.32895940566899334,0.8204280877044308,0.41197210888640806,1.0743088131397172,1944.7814142067652,1946.0668774344406,1.2854632276753364,True,1898,-0.47105163766785585,0.9525679967172729,0.6845708267509215,0.6582411795681938,27,1999
SENS_junction_environment_PCs,environment_adjusted,SENSITIVITY,1,True,189,9,13,22,29,junction_score,0.10874425519459793,1.114877189828882,0.06516922100645688,1.6686443924782177,0.09518787557083579,1.0578919703962326,1944.7814142067652,1943.8344523502753,-0.9469618564899065,True,1999,-0.13409073305280203,0.20143295442779388,0.5,0.7505,27,1999
