pair_id,grid_cell_id,period_1,period_2,latitude_band,common_event_resample_n,c3_period1_events,c3_period2_events,n0_period1_events,n0_period2_events,raw_c3_shared_genera,raw_c3_period1_only_genera,raw_c3_period2_only_genera,raw_c3_jaccard_dissimilarity,raw_c3_simpson_replacement,raw_n0_shared_genera,raw_n0_period1_only_genera,raw_n0_period2_only_genera,raw_n0_jaccard_dissimilarity,raw_n0_simpson_replacement,raw_delta_jaccard_C3_minus_N0,raw_delta_simpson_C3_minus_N0,resampled_c3_jaccard_mean,resampled_c3_jaccard_median,resampled_c3_jaccard_q025,resampled_c3_jaccard_q975,resampled_c3_simpson_mean,resampled_c3_simpson_median,resampled_c3_simpson_q025,resampled_c3_simpson_q975,resampled_n0_jaccard_mean,resampled_n0_jaccard_median,resampled_n0_jaccard_q025,resampled_n0_jaccard_q975,resampled_n0_simpson_mean,resampled_n0_simpson_median,resampled_n0_simpson_q025,resampled_n0_simpson_q975,resampled_delta_jaccard_C3_minus_N0_mean,resampled_delta_jaccard_C3_minus_N0_median,resampled_delta_jaccard_C3_minus_N0_q025,resampled_delta_jaccard_C3_minus_N0_q975,resampled_delta_simpson_C3_minus_N0_mean,resampled_delta_simpson_C3_minus_N0_median,resampled_delta_simpson_C3_minus_N0_q025,resampled_delta_simpson_C3_minus_N0_q975
TPAIR_0001,BJA25K_C+0013_R-0015,P2011_2015,P2016_2020,24-26N,5,9,5,9,14,3,19,0,0.8636363636363636,0.0,5,4,5,0.6428571428571429,0.4444444444444444,0.22077922077922074,-0.4444444444444444,0.8411948906485671,0.8333333333333334,0.7857142857142857,0.9333333333333333,0.22366666666666665,0.3333333333333333,0.0,0.6666666666666666,0.8544067182817183,0.875,0.625,1.0,0.7019333333333333,0.75,0.3333333333333333,1.0,-0.013211827633151164,-0.028846153846153855,-0.19999999999999996,0.21434523809523806,-0.47826666666666673,-0.46666666666666673,-1.0,0.16666666666666663
TPAIR_0002,BJA25K_C+0013_R-0015,P2016_2020,P2021_2025,24-26N,5,5,10,14,21,1,2,3,0.8333333333333334,0.6666666666666666,4,6,4,0.7142857142857143,0.5,0.11904761904761907,0.16666666666666663,0.9096333333333333,0.8333333333333334,0.8,1.0,0.8323333333333334,0.6666666666666666,0.6666666666666666,1.0,0.7800511904761904,0.8333333333333334,0.4,1.0,0.61305,0.6666666666666666,0.19500000000000028,1.0,0.1295821428571429,0.125,-0.16666666666666663,0.5,0.21928333333333333,0.25,-0.33333333333333337,0.75
TPAIR_0003,BJA25K_C+0013_R-0016,P2011_2015,P2016_2020,24-26N,8,16,8,14,23,3,16,3,0.8636363636363636,0.5,5,7,7,0.7368421052631579,0.5833333333333334,0.1267942583732058,-0.08333333333333337,0.8549261720477666,0.8666666666666667,0.7692307692307693,0.9411764705882353,0.6345,0.6666666666666666,0.5,0.8333333333333334,0.8150757942221178,0.8333333333333334,0.6363636363636364,1.0,0.6307690476190476,0.6666666666666666,0.3333333333333333,1.0,0.03985037782564872,0.033333333333333326,-0.1428571428571429,0.24599341834635952,0.0037309523809523717,0.0,-0.33333333333333337,0.4047619047619048
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,24-26N,8,8,48,23,140,3,3,8,0.7857142857142857,0.5,9,3,6,0.5,0.25,0.2857142857142857,0.25,0.6963621572871573,0.6666666666666666,0.5714285714285714,0.8181818181818182,0.47898333333333337,0.5,0.25,0.6666666666666666,0.7044499805749806,0.7142857142857143,0.42857142857142855,0.9090909090909091,0.4960857142857143,0.5,0.16666666666666666,0.8333333333333334,-0.00808782328782329,0.0,-0.3000892857142858,0.3392857142857143,-0.017102380952380952,0.0,-0.5,0.4341666666666659
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,23-24N,10,10,30,27,32,4,1,12,0.7647058823529411,0.2,4,0,6,0.6,0.0,0.16470588235294115,0.2,0.8019025585525587,0.8181818181818182,0.6,0.9230769230769231,0.5873999999999999,0.6,0.2,0.8,0.5688007936507936,0.6,0.25,0.8333333333333334,0.12408333333333332,0.0,0.0,0.5,0.2331017649017649,0.2272727272727273,-0.10015151515151523,0.6,0.46331666666666665,0.46666666666666673,-0.09999999999999998,0.8
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,23-24N,3,4,12,3,15,4,7,4,0.7333333333333333,0.5,1,10,4,0.9333333333333333,0.8,-0.20000000000000007,-0.30000000000000004,0.8425571872571872,0.8333333333333334,0.6666666666666666,1.0,0.4348333333333333,0.5,0.0,1.0,0.9855375457875458,1.0,0.9166666666666666,1.0,0.9301666666666666,1.0,0.5,1.0,-0.14298035853035854,-0.16666666666666663,-0.33333333333333337,0.0,-0.49533333333333335,-0.5,-1.0,0.16666666666666663
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,23-24N,12,12,26,15,18,4,4,6,0.7142857142857143,0.5,4,1,5,0.6,0.2,0.11428571428571432,0.3,0.6634959928959929,0.6363636363636364,0.5555555555555556,0.7692307692307693,0.4418119047619048,0.42857142857142855,0.2,0.625,0.6847734126984127,0.6666666666666666,0.5,0.9,0.39498333333333335,0.4,0.0,0.8,-0.021277419802419803,-0.029040404040404033,-0.26363636363636367,0.20793928293928282,0.04682857142857141,0.028571428571428525,-0.4,0.5
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,23-24N,8,15,11,8,31,3,5,4,0.75,0.5714285714285714,6,0,8,0.5714285714285714,0.0,0.1785714285714286,0.5714285714285714,0.8247819624819626,0.8,0.625,1.0,0.6882333333333334,0.6666666666666666,0.4,1.0,0.5829775974025975,0.5714285714285714,0.2857142857142857,0.8181818181818182,0.3831833333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.2418043650793651,0.2333333333333334,-0.05026515151515154,0.5714285714285714,0.30505,0.30000000000000004,-0.09999999999999998,0.75
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,23-24N,5,5,9,27,14,3,1,5,0.6666666666666666,0.25,6,4,2,0.5,0.25,0.16666666666666663,0.0,0.7545988095238095,0.7142857142857143,0.5,1.0,0.5885,0.5,0.25,1.0,0.6968126984126984,0.7142857142857143,0.25,1.0,0.5066333333333334,0.5,0.0,1.0,0.057786111111111114,0.04761904761904767,-0.3571428571428571,0.475,0.08186666666666667,0.08333333333333337,-0.5,0.6687499999999982
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,30-32N,4,7,28,4,8,3,2,4,0.6666666666666666,0.4,0,3,4,1.0,1.0,-0.33333333333333337,-0.6,0.6326642857142857,0.6666666666666666,0.0,0.8333333333333334,0.29675,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.36733571428571427,-0.33333333333333337,-1.0,-0.16666666666666663,-0.70325,-0.6666666666666667,-1.0,-0.33333333333333337
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,30-32N,15,15,37,17,27,2,1,2,0.6,0.3333333333333333,4,2,2,0.5,0.3333333333333333,0.09999999999999998,0.0,0.5897666666666667,0.6,0.5,0.8,0.35133333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5251559523809524,0.5,0.3333333333333333,0.75,0.3283666666666667,0.3333333333333333,0.2,0.5,0.06461071428571429,0.09999999999999998,-0.15000000000000002,0.30000000000000004,0.022966666666666646,0.0,-0.16666666666666669,0.3333333333333333
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,30-32N,10,22,26,10,22,5,3,0,0.375,0.0,3,0,2,0.4,0.0,-0.025000000000000022,0.0,0.6422714285714286,0.6666666666666666,0.3321428571428572,0.8571428571428571,0.31784999999999997,0.3333333333333333,0.0,0.6666666666666666,0.50735,0.6,0.25,0.6,0.196,0.3333333333333333,0.0,0.3333333333333333,0.13492142857142858,0.15000000000000002,-0.26666666666666666,0.4571428571428571,0.12185000000000001,0.16666666666666669,-0.3333333333333333,0.6666666666666666
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,30-32N,10,29,36,19,10,4,4,5,0.6923076923076923,0.5,2,4,2,0.75,0.5,-0.05769230769230771,0.0,0.5446541847041847,0.5714285714285714,0.2,0.7777777777777778,0.29954523809523814,0.25,0.0,0.6,0.7135940476190477,0.7142857142857143,0.6,0.875,0.5125,0.5,0.3333333333333333,0.75,-0.1689398629148629,-0.1428571428571429,-0.5142857142857142,0.08333333333333337,-0.2129547619047619,-0.25,-0.5,0.09999999999999998
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,30-32N,131,276,542,131,142,20,7,8,0.42857142857142855,0.25925925925925924,14,3,6,0.391304347826087,0.17647058823529413,0.037267080745341574,0.08278867102396512,0.4911520379570431,0.5,0.3333333333333333,0.620913154533844,0.24221035056274995,0.25,0.07142857142857142,0.3888888888888889,0.38761911349520045,0.391304347826087,0.3333333333333333,0.43478260869565216,0.1860698529411765,0.17647058823529413,0.17647058823529413,0.23529411764705882,0.10353292446184263,0.10869565217391303,-0.05797101449275366,0.24350649350649345,0.05614049762157346,0.05882352941176469,-0.10980392156862746,0.21241830065359477
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,30-32N,20,33,84,20,20,6,2,7,0.6,0.25,1,5,4,0.9,0.8,-0.30000000000000004,-0.55,0.5218085414585414,0.5555555555555556,0.25,0.75,0.27370119047619046,0.2857142857142857,0.0,0.5721428571428565,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,-0.3781914585414586,-0.34444444444444444,-0.65,-0.15000000000000002,-0.5262988095238096,-0.5142857142857143,-0.8,-0.2278571428571436
