grid_cell_id,centroid_latitude_mean,centroid_longitude_mean,latitude_band,eligible_temporal_pair_count,eligible_transitions
BJA25K_C+0013_R-0015,24.138899,-110.13238900000002,24-26N,2,P2011_2015->P2016_2020;P2016_2020->P2021_2025
BJA25K_C+0013_R-0016,24.0079973,-110.1298021,24-26N,2,P2011_2015->P2016_2020;P2016_2020->P2021_2025
BJA25K_C+0013_R-0018,23.4593009,-110.2186289,23-24N,1,P2016_2020->P2021_2025
BJA25K_C+0014_R-0017,23.720613,-109.9437068,23-24N,2,P2011_2015->P2016_2020;P2016_2020->P2021_2025
BJA25K_C+0015_R-0018,23.4961491,-109.77832329999998,23-24N,1,P2016_2020->P2021_2025
BJA25K_C+0016_R-0018,23.4530546,-109.4468397,23-24N,1,P2016_2020->P2021_2025
BJA25K_C-0010_R+0013,30.4773049,-115.996839,30-32N,1,P2016_2020->P2021_2025
BJA25K_C-0011_R+0015,30.9966887,-116.3037008,30-32N,1,P2016_2020->P2021_2025
BJA25K_C-0011_R+0016,31.144693,-116.2804792,30-32N,1,P2016_2020->P2021_2025
BJA25K_C-0012_R+0018,31.6623026,-116.5960084,30-32N,1,P2016_2020->P2021_2025
BJA25K_C-0012_R+0019,31.8712873,-116.6061115,30-32N,1,P2016_2020->P2021_2025
BJA25K_C-0013_R+0019,31.8897731,-116.7059421,30-32N,1,P2016_2020->P2021_2025
