pair_id,grid_cell_id,period_1,period_2,latitude_band,common_event_resample_n,c3_period1_events,c3_period2_events,n0_period1_events,n0_period2_events,raw_c3_shared_genera,raw_c3_period1_only_genera,raw_c3_period2_only_genera,raw_c3_jaccard_dissimilarity,raw_c3_simpson_replacement,raw_n0_shared_genera,raw_n0_period1_only_genera,raw_n0_period2_only_genera,raw_n0_jaccard_dissimilarity,raw_n0_simpson_replacement,raw_delta_jaccard_C3_minus_N0,raw_delta_simpson_C3_minus_N0,resampled_c3_jaccard_mean,resampled_c3_jaccard_median,resampled_c3_jaccard_q025,resampled_c3_jaccard_q975,resampled_c3_simpson_mean,resampled_c3_simpson_median,resampled_c3_simpson_q025,resampled_c3_simpson_q975,resampled_n0_jaccard_mean,resampled_n0_jaccard_median,resampled_n0_jaccard_q025,resampled_n0_jaccard_q975,resampled_n0_simpson_mean,resampled_n0_simpson_median,resampled_n0_simpson_q025,resampled_n0_simpson_q975,resampled_delta_jaccard_C3_minus_N0_mean,resampled_delta_jaccard_C3_minus_N0_median,resampled_delta_jaccard_C3_minus_N0_q025,resampled_delta_jaccard_C3_minus_N0_q975,resampled_delta_simpson_C3_minus_N0_mean,resampled_delta_simpson_C3_minus_N0_median,resampled_delta_simpson_C3_minus_N0_q025,resampled_delta_simpson_C3_minus_N0_q975,stress_composite_z_period1_mean,stress_composite_z_period2_mean,stress_composite_z_period1_n_years,stress_composite_z_period2_n_years,delta_stress_composite_z_period2_minus_period1,abs_delta_stress_composite_z_period2_minus_period1,thermal_stress_z_period1_mean,thermal_stress_z_period2_mean,thermal_stress_z_period1_n_years,thermal_stress_z_period2_n_years,delta_thermal_stress_z_period2_minus_period1,abs_delta_thermal_stress_z_period2_minus_period1,vpd_anomaly_z_period1_mean,vpd_anomaly_z_period2_mean,vpd_anomaly_z_period1_n_years,vpd_anomaly_z_period2_n_years,delta_vpd_anomaly_z_period2_minus_period1,abs_delta_vpd_anomaly_z_period2_minus_period1,moisture_stress_z_period1_mean,moisture_stress_z_period2_mean,moisture_stress_z_period1_n_years,moisture_stress_z_period2_n_years,delta_moisture_stress_z_period2_minus_period1,abs_delta_moisture_stress_z_period2_minus_period1,vegetation_stress_z_period1_mean,vegetation_stress_z_period2_mean,vegetation_stress_z_period1_n_years,vegetation_stress_z_period2_n_years,delta_vegetation_stress_z_period2_minus_period1,abs_delta_vegetation_stress_z_period2_minus_period1,mean_temperature_anomaly_z_period1_mean,mean_temperature_anomaly_z_period2_mean,mean_temperature_anomaly_z_period1_n_years,mean_temperature_anomaly_z_period2_n_years,delta_mean_temperature_anomaly_z_period2_minus_period1,abs_delta_mean_temperature_anomaly_z_period2_minus_period1,hot_days_35c_anomaly_z_period1_mean,hot_days_35c_anomaly_z_period2_mean,hot_days_35c_anomaly_z_period1_n_years,hot_days_35c_anomaly_z_period2_n_years,delta_hot_days_35c_anomaly_z_period2_minus_period1,abs_delta_hot_days_35c_anomaly_z_period2_minus_period1,precipitation_deficit_z_period1_mean,precipitation_deficit_z_period2_mean,precipitation_deficit_z_period1_n_years,precipitation_deficit_z_period2_n_years,delta_precipitation_deficit_z_period2_minus_period1,abs_delta_precipitation_deficit_z_period2_minus_period1,soil_water_deficit_z_period1_mean,soil_water_deficit_z_period2_mean,soil_water_deficit_z_period1_n_years,soil_water_deficit_z_period2_n_years,delta_soil_water_deficit_z_period2_minus_period1,abs_delta_soil_water_deficit_z_period2_minus_period1,evi_deficit_z_period1_mean,evi_deficit_z_period2_mean,evi_deficit_z_period1_n_years,evi_deficit_z_period2_n_years,delta_evi_deficit_z_period2_minus_period1,abs_delta_evi_deficit_z_period2_minus_period1,stress_join_complete,failed_core_predictors
TPAIR_0001,BJA25K_C+0013_R-0015,P2011_2015,P2016_2020,24-26N,5,9,5,9,14,3,19,0,0.8636363636363636,0.0,5,4,5,0.6428571428571429,0.4444444444444444,0.22077922077922074,-0.4444444444444444,0.8411948906485671,0.8333333333333334,0.7857142857142857,0.9333333333333333,0.22366666666666665,0.3333333333333333,0.0,0.6666666666666666,0.8544067182817183,0.875,0.625,1.0,0.7019333333333333,0.75,0.3333333333333333,1.0,-0.013211827633151164,-0.028846153846153855,-0.19999999999999996,0.21434523809523806,-0.47826666666666673,-0.46666666666666673,-1.0,0.16666666666666663,0.13987179730478602,-0.03561614129301664,5,5,-0.17548793859780265,0.17548793859780265,0.23324705528293369,0.5950021767457591,5,5,0.3617551214628254,0.3617551214628254,-0.12404353556231677,-0.11703517901871631,5,5,0.0070083565436004636,0.0070083565436004636,0.056141187469151976,-0.2629915411235003,5,5,-0.3191327285926523,0.3191327285926523,0.39414248202937513,-0.3574400217756091,5,5,-0.7515825038049841,0.7515825038049841,0.41158028944056413,0.7792098637084652,5,5,0.3676295742679011,0.3676295742679011,0.05491382112530323,0.41079448978305294,5,5,0.3558806686577497,0.3558806686577497,-0.09292266259092988,-0.1614801859368439,5,5,-0.06855752334591403,0.06855752334591403,0.20520503752923389,-0.36450289631015675,5,5,-0.5697079338393907,0.5697079338393907,0.39414248202937513,-0.3574400217756091,5,5,-0.7515825038049841,0.7515825038049841,1,
TPAIR_0002,BJA25K_C+0013_R-0015,P2016_2020,P2021_2025,24-26N,5,5,10,14,21,1,2,3,0.8333333333333334,0.6666666666666666,4,6,4,0.7142857142857143,0.5,0.11904761904761907,0.16666666666666663,0.9096333333333333,0.8333333333333334,0.8,1.0,0.8323333333333334,0.6666666666666666,0.6666666666666666,1.0,0.7800511904761904,0.8333333333333334,0.4,1.0,0.61305,0.6666666666666666,0.19500000000000028,1.0,0.1295821428571429,0.125,-0.16666666666666663,0.5,0.21928333333333333,0.25,-0.33333333333333337,0.75,-0.03561614129301664,0.512884203569109,5,5,0.5485003448621256,0.5485003448621256,0.5950021767457591,0.9703400036445547,5,5,0.3753378268987957,0.3753378268987957,-0.11703517901871631,1.254390808335208,5,5,1.3714259873539243,1.3714259873539243,-0.2629915411235003,-0.0281638766413078,5,5,0.23482766448219253,0.23482766448219253,-0.3574400217756091,-0.14503012106201896,5,5,0.21240990071359012,0.21240990071359012,0.7792098637084652,0.5254677328877555,5,5,-0.25374213082070973,0.25374213082070973,0.41079448978305294,1.415212274401354,5,5,1.0044177846183011,1.0044177846183011,-0.1614801859368439,-0.024922712638206675,5,5,0.13655747329863724,0.13655747329863724,-0.36450289631015675,-0.031405040644408896,5,5,0.33309785566574784,0.33309785566574784,-0.3574400217756091,-0.14503012106201896,5,5,0.21240990071359012,0.21240990071359012,1,
TPAIR_0003,BJA25K_C+0013_R-0016,P2011_2015,P2016_2020,24-26N,8,16,8,14,23,3,16,3,0.8636363636363636,0.5,5,7,7,0.7368421052631579,0.5833333333333334,0.1267942583732058,-0.08333333333333337,0.8549261720477666,0.8666666666666667,0.7692307692307693,0.9411764705882353,0.6345,0.6666666666666666,0.5,0.8333333333333334,0.8150757942221178,0.8333333333333334,0.6363636363636364,1.0,0.6307690476190476,0.6666666666666666,0.3333333333333333,1.0,0.03985037782564872,0.033333333333333326,-0.1428571428571429,0.24599341834635952,0.0037309523809523717,0.0,-0.33333333333333337,0.4047619047619048,-0.1404026500368851,-0.014330648689233741,5,5,0.12607200134765134,0.12607200134765134,0.04356972716262638,0.5900516494142258,5,5,0.5464819222515994,0.5464819222515994,-0.48108197927065405,-0.11062137079364319,5,5,0.37046060847701084,0.37046060847701084,-0.32690544099639424,-0.16415731850614457,5,5,0.16274812249024967,0.16274812249024967,0.20280709295688154,-0.3725955548713731,5,5,-0.5754026478282546,0.5754026478282546,0.3052758655104001,0.8457911598996735,5,5,0.5405152943892734,0.5405152943892734,-0.21813641118514734,0.3343121389287782,5,5,0.5524485501139256,0.5524485501139256,-0.3450518233948708,-0.11487891003559747,5,5,0.2301729133592733,0.2301729133592733,-0.30875905859791775,-0.21343572697669166,5,5,0.09532333162122608,0.09532333162122608,0.20280709295688154,-0.3725955548713731,5,5,-0.5754026478282546,0.5754026478282546,1,
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,24-26N,8,8,48,23,140,3,3,8,0.7857142857142857,0.5,9,3,6,0.5,0.25,0.2857142857142857,0.25,0.6963621572871573,0.6666666666666666,0.5714285714285714,0.8181818181818182,0.47898333333333337,0.5,0.25,0.6666666666666666,0.7044499805749806,0.7142857142857143,0.42857142857142855,0.9090909090909091,0.4960857142857143,0.5,0.16666666666666666,0.8333333333333334,-0.00808782328782329,0.0,-0.3000892857142858,0.3392857142857143,-0.017102380952380952,0.0,-0.5,0.4341666666666659,-0.014330648689233741,0.12004748400640383,5,5,0.1343781326956376,0.1343781326956376,0.5900516494142258,-0.0669739682876815,5,5,-0.6570256177019074,0.6570256177019074,-0.11062137079364319,0.6304551681202284,5,5,0.7410765389138716,0.7410765389138716,-0.16415731850614457,0.19251317078279906,5,5,0.3566704892889436,0.3566704892889436,-0.3725955548713731,-0.2758044345897306,5,5,0.0967911202816425,0.0967911202816425,0.8457911598996735,0.6017602750872109,5,5,-0.2440308848124626,0.2440308848124626,0.3343121389287782,-0.7357082116625737,5,5,-1.070020350591352,1.070020350591352,-0.11487891003559747,0.12420152473892364,5,5,0.23908043477452112,0.23908043477452112,-0.21343572697669166,0.2608248168266745,5,5,0.4742605438033662,0.4742605438033662,-0.3725955548713731,-0.2758044345897306,5,5,0.0967911202816425,0.0967911202816425,1,
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,23-24N,10,10,30,27,32,4,1,12,0.7647058823529411,0.2,4,0,6,0.6,0.0,0.16470588235294115,0.2,0.8019025585525587,0.8181818181818182,0.6,0.9230769230769231,0.5873999999999999,0.6,0.2,0.8,0.5688007936507936,0.6,0.25,0.8333333333333334,0.12408333333333332,0.0,0.0,0.5,0.2331017649017649,0.2272727272727273,-0.10015151515151523,0.6,0.46331666666666665,0.46666666666666673,-0.09999999999999998,0.8,-0.15849025314189913,0.5622679195637732,5,5,0.7207581727056723,0.7207581727056723,0.4639572218686754,0.8398619600700559,5,5,0.3759047382013805,0.3759047382013805,-0.2831338110610918,1.6481998655378458,5,5,1.9313336765989377,1.9313336765989377,-0.15176178180132888,0.054799677570663716,5,5,0.2065614593719926,0.2065614593719926,-0.6630226415738512,-0.2937898249234727,5,5,0.36923281665037844,0.36923281665037844,0.748795535126007,0.5814063325397093,5,5,-0.16738920258629775,0.16738920258629775,0.17911890861134366,1.0983175876004023,5,5,0.9191986789890587,0.9191986789890587,-0.1338574402180778,0.03532412086365326,5,5,0.16918156108173105,0.16918156108173105,-0.16966612338457993,0.07427523427767424,5,5,0.24394135766225417,0.24394135766225417,-0.6630226415738512,-0.2937898249234727,5,5,0.36923281665037844,0.36923281665037844,1,
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,23-24N,3,4,12,3,15,4,7,4,0.7333333333333333,0.5,1,10,4,0.9333333333333333,0.8,-0.20000000000000007,-0.30000000000000004,0.8425571872571872,0.8333333333333334,0.6666666666666666,1.0,0.4348333333333333,0.5,0.0,1.0,0.9855375457875458,1.0,0.9166666666666666,1.0,0.9301666666666666,1.0,0.5,1.0,-0.14298035853035854,-0.16666666666666663,-0.33333333333333337,0.0,-0.49533333333333335,-0.5,-1.0,0.16666666666666663,-0.2560873073389254,-0.2472522107269774,5,5,0.008835096611947979,0.008835096611947979,-0.09543632133420522,0.4001547532018575,5,5,0.4955910745360627,0.4955910745360627,-0.6071958324467613,-0.37008459472813776,5,5,0.23711123771862358,0.23711123771862358,-0.41226169802930257,-0.3935811307575761,5,5,0.018680567271726456,0.018680567271726456,0.09054462245456756,-0.6254978706240532,5,5,-0.7160424930786207,0.7160424930786207,0.12564466138578378,0.8738262915361575,5,5,0.7481816301503738,0.7481816301503738,-0.31651730405419415,-0.07351678513244256,5,5,0.2430005189217516,0.2430005189217516,-0.35867832523452553,-0.3541532393092658,5,5,0.004525085925259742,0.004525085925259742,-0.46584507082407967,-0.4330090222058864,5,5,0.03283604861819328,0.03283604861819328,0.09054462245456756,-0.6254978706240532,5,5,-0.7160424930786207,0.7160424930786207,1,
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,23-24N,12,12,26,15,18,4,4,6,0.7142857142857143,0.5,4,1,5,0.6,0.2,0.11428571428571432,0.3,0.6634959928959929,0.6363636363636364,0.5555555555555556,0.7692307692307693,0.4418119047619048,0.42857142857142855,0.2,0.625,0.6847734126984127,0.6666666666666666,0.5,0.9,0.39498333333333335,0.4,0.0,0.8,-0.021277419802419803,-0.029040404040404033,-0.26363636363636367,0.20793928293928282,0.04682857142857141,0.028571428571428525,-0.4,0.5,-0.2472522107269774,0.2474224741671021,5,5,0.4946746848940795,0.4946746848940795,0.4001547532018575,0.5477593406264406,5,5,0.1476045874245831,0.1476045874245831,-0.37008459472813776,0.9804751422515882,5,5,1.350559736979726,1.350559736979726,-0.3935811307575761,0.11574122508555089,5,5,0.509322355843127,0.509322355843127,-0.6254978706240532,-0.6542858112951714,5,5,-0.02878794067111823,0.02878794067111823,0.8738262915361575,1.1623968055762814,5,5,0.2885705140401239,0.2885705140401239,-0.07351678513244256,-0.06687812432340015,5,5,0.006638660809042407,0.006638660809042407,-0.3541532393092658,0.028249435542699555,5,5,0.38240267485196533,0.38240267485196533,-0.4330090222058864,0.20323301462840224,5,5,0.6362420368342886,0.6362420368342886,-0.6254978706240532,-0.6542858112951714,5,5,-0.02878794067111823,0.02878794067111823,1,
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,23-24N,8,15,11,8,31,3,5,4,0.75,0.5714285714285714,6,0,8,0.5714285714285714,0.0,0.1785714285714286,0.5714285714285714,0.8247819624819626,0.8,0.625,1.0,0.6882333333333334,0.6666666666666666,0.4,1.0,0.5829775974025975,0.5714285714285714,0.2857142857142857,0.8181818181818182,0.3831833333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.2418043650793651,0.2333333333333334,-0.05026515151515154,0.5714285714285714,0.30505,0.30000000000000004,-0.09999999999999998,0.75,-0.3910251093717215,-0.19265695802517221,5,5,0.1983681513465493,0.1983681513465493,0.19509347469452423,0.3680515855498389,5,5,0.17295811085531468,0.17295811085531468,-0.641465825130002,0.1287631092194316,5,5,0.7702289343494336,0.7702289343494336,-0.6055439080025388,-0.35498898880985574,5,5,0.250554919192683,0.250554919192683,-0.5121841790488695,-0.9124535380601039,5,5,-0.4002693590112344,0.4002693590112344,0.7375478719633457,0.9495931436386418,5,5,0.21204527167529608,0.21204527167529608,-0.34736092257429724,-0.2134899725389641,5,5,0.13387095003533314,0.13387095003533314,-0.49441795155595464,-0.3523094722291743,5,5,0.14210847932678033,0.14210847932678033,-0.7166698644491231,-0.35766850539053713,5,5,0.35900135905858593,0.35900135905858593,-0.5121841790488695,-0.9124535380601039,5,5,-0.4002693590112344,0.4002693590112344,1,
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,23-24N,5,5,9,27,14,3,1,5,0.6666666666666666,0.25,6,4,2,0.5,0.25,0.16666666666666663,0.0,0.7545988095238095,0.7142857142857143,0.5,1.0,0.5885,0.5,0.25,1.0,0.6968126984126984,0.7142857142857143,0.25,1.0,0.5066333333333334,0.5,0.0,1.0,0.057786111111111114,0.04761904761904767,-0.3571428571428571,0.475,0.08186666666666667,0.08333333333333337,-0.5,0.6687499999999982,-0.4533984159829356,-0.28142935840165456,5,5,0.17196905758128106,0.17196905758128106,0.0950681757408197,0.4685117055995711,5,5,0.3734435298587514,0.3734435298587514,-0.792882159199388,-0.3699379122743451,5,5,0.4229442469250429,0.4229442469250429,-0.48145313349815916,-0.38577247112729973,5,5,0.09568066237085943,0.09568066237085943,-0.6343265469750151,-0.8385187558045445,5,5,-0.20419220882952938,0.20419220882952938,0.6457051647887775,0.41653070191429603,5,5,-0.22917446287448145,0.22917446287448145,-0.45556881330713805,0.5204927092848463,5,5,0.9760615225919843,0.9760615225919843,-0.3877964345675025,-0.35464278042194236,5,5,0.03315365414556015,0.03315365414556015,-0.5751098324288159,-0.4169021618326571,5,5,0.15820767059615876,0.15820767059615876,-0.6343265469750151,-0.8385187558045445,5,5,-0.20419220882952938,0.20419220882952938,1,
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,30-32N,4,7,28,4,8,3,2,4,0.6666666666666666,0.4,0,3,4,1.0,1.0,-0.33333333333333337,-0.6,0.6326642857142857,0.6666666666666666,0.0,0.8333333333333334,0.29675,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.36733571428571427,-0.33333333333333337,-1.0,-0.16666666666666663,-0.70325,-0.6666666666666667,-1.0,-0.33333333333333337,0.04441826438976738,-0.08311061837541799,5,5,-0.12752888276518537,0.12752888276518537,0.7247811657596874,-0.24175448891249476,5,5,-0.9665356546721822,0.9665356546721822,0.3621670232497768,-0.24166914493154523,5,5,-0.603836168181322,0.603836168181322,-0.5966367009938579,0.16507292055661096,5,5,0.7617096215504688,0.7617096215504688,-0.31263843045653694,-0.014091760214242965,5,5,0.298546670242294,0.298546670242294,0.778741938269438,-0.25990218007501054,5,5,-1.0386441183444486,1.0386441183444486,0.6708203932499369,-0.223606797749979,5,5,-0.894427190999916,0.894427190999916,-0.5656954381068979,0.1575630590219488,5,5,0.7232584971288467,0.7232584971288467,-0.6275779638808177,0.17258278209127315,5,5,0.8001607459720907,0.8001607459720907,-0.31263843045653694,-0.014091760214242965,5,5,0.298546670242294,0.298546670242294,1,
