grid_cell_id,source_field,baseline_start,baseline_end,baseline_n_years,baseline_mean,baseline_sd,orientation,parameter_valid
BJA25K_C+0013_R-0015,era5_mean_temperature_c,2001,2020,20,23.589600085862376,0.4074924578039923,1,1
BJA25K_C+0013_R-0015,era5_p95_daily_max_temperature_c,2001,2020,20,32.29956335277096,0.32075521559244574,1,1
BJA25K_C+0013_R-0015,era5_annual_max_temperature_c,2001,2020,20,33.90695646605559,0.4122392817645819,1,1
BJA25K_C+0013_R-0015,era5_hot_days_35c,2001,2020,20,0.9502081165452653,0.31929701083078443,1,1
BJA25K_C+0013_R-0015,era5_hot_days_40c,2001,2020,20,,,1,0
BJA25K_C+0013_R-0015,era5_mean_vpd_kpa,2001,2020,20,1.1269849648064525,0.03475311060759883,1,1
BJA25K_C+0013_R-0015,era5_p95_vpd_kpa,2001,2020,20,1.826717115400644,0.06763155174642918,1,1
BJA25K_C+0013_R-0015,era5_high_vpd_day_fraction,2001,2020,20,3.546970209298193e-05,7.299751403281552e-05,1,1
BJA25K_C+0013_R-0015,era5_mean_rootzone_soil_water,2001,2020,20,0.08793304129255222,0.009156614683225971,-1,1
BJA25K_C+0013_R-0015,modis_lst_day_mean_c,2001,2020,20,36.99221104352821,0.6485800648548913,1,1
BJA25K_C+0013_R-0015,modis_lst_day_p95_c,2001,2020,20,48.01696680123737,0.8191371333223672,1,1
BJA25K_C+0013_R-0015,modis_lst_day_max_c,2001,2020,20,52.51147263240436,1.3526948348546375,1,1
BJA25K_C+0013_R-0015,modis_lst_night_mean_c,2001,2020,20,19.48161931660636,0.46617668794681255,1,1
BJA25K_C+0013_R-0015,modis_lst_hot_observation_fraction_45c,2001,2020,20,0.15741263832001215,0.026207326058983012,1,1
BJA25K_C+0013_R-0015,chirps_annual_precipitation_mm,2001,2020,20,185.85666426544452,82.50122836369653,-1,1
BJA25K_C+0013_R-0015,chirps_dry_day_fraction_lt1mm,2001,2020,20,0.9363677576345049,0.02142441719790341,1,1
BJA25K_C+0013_R-0015,chirps_very_dry_day_fraction_lt0_1mm,2001,2020,20,0.9148698682520935,0.026102197793662137,1,1
BJA25K_C+0013_R-0015,chirps_minimum_monthly_precipitation_mm,2001,2020,20,0.010762006372241435,0.030767579242314963,-1,1
BJA25K_C+0013_R-0015,chirps_heavy_rain_days_gt20mm,2001,2020,20,1.823215010141988,1.087223125871486,1,1
BJA25K_C+0013_R-0015,chirps_max_1day_precipitation_mm,2001,2020,20,45.98422236389369,29.02898478399248,1,1
BJA25K_C+0013_R-0015,terraclimate_climate_water_deficit_mm,2001,2020,20,1431.9905522753456,118.595645783067,1,1
BJA25K_C+0013_R-0015,terraclimate_pdsi_mean,2001,2020,20,0.048811485935099715,2.4738032226964974,-1,1
BJA25K_C+0013_R-0015,terraclimate_pdsi_min,2001,2020,20,-2.5855025201612905,2.175972435525012,-1,1
BJA25K_C+0013_R-0015,terraclimate_soil_moisture_mean_mm,2001,2020,20,9.308473982334869,5.365775239765855,-1,1
BJA25K_C+0013_R-0015,terraclimate_aet_pet_ratio,2001,2020,20,0.14910770455155417,0.06058175073830799,-1,1
BJA25K_C+0013_R-0015,modis_evi_mean,2001,2020,20,0.17456416355997556,0.016083997133600696,-1,1
BJA25K_C+0013_R-0015,modis_evi_p10,2001,2020,20,0.12150650565962957,0.00878964539880025,-1,1
BJA25K_C+0013_R-0016,era5_mean_temperature_c,2001,2020,20,23.291946098416204,0.37820951724612817,1,1
