model_id,tier,response,predictor,family,summary_mode,control_set,direction,description,n_pairs,n_cells,status,coefficient_per_predictor_sd,cluster_bootstrap_q025,cluster_bootstrap_q975,wild_cluster_p_two_sided,wild_cluster_method,r_squared_descriptive,controls_retained,controls_omitted,bh_fdr_q_across_nonprimary_models,conclusion,loco_valid_n,loco_positive_fraction,loco_min_coefficient,loco_max_coefficient
E_PRIMARY_COMPOSITE_MEAN,primary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_extended_stress_composite_z_period2_minus_period1,composite,mean,full,positive,Primary expanded H3 test using independent and extreme-event stress domains,15,12,OK,0.05076824459643417,-0.5364286898990382,0.2564370955520928,0.5923846717110081,exact_wild_cluster_sign_flip_4096_patterns,0.5629284297036998,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,,POSITIVE_BUT_UNCERTAIN,12,0.9166666666666666,-0.055256575699125156,0.10155949171738445
E_SECONDARY_THERMAL_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_thermal_extreme_stress_z_period2_minus_period1,thermal,mean,full,positive,Thermal extreme domain,15,12,OK,0.2003047719732094,-0.6802602777565032,1.1742882192008348,0.3053453746643886,exact_wild_cluster_sign_flip_4096_patterns,0.5971412984289572,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8422931413229192,POSITIVE_BUT_UNCERTAIN,12,1.0,0.02195381202327984,0.3242122875608356
E_SECONDARY_SURFACE_HEAT_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_surface_heat_stress_z_period2_minus_period1,surface_heat,mean,full,positive,MODIS land-surface heat domain,15,12,OK,-0.392003114228442,-1.978944929645593,0.5644186395650056,0.33414693678301194,exact_wild_cluster_sign_flip_4096_patterns,0.6007801065071549,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8422931413229192,NEGATIVE_BUT_UNCERTAIN,12,0.0,-1.110106375147371,-0.09324866545108784
E_SECONDARY_VPD_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_vpd_extreme_stress_z_period2_minus_period1,vpd,mean,full,positive,VPD extreme domain,15,12,OK,0.14219927021138318,-1.0674521177823597,0.3966918935053819,0.35464974371491337,exact_wild_cluster_sign_flip_4096_patterns,0.5847222943207353,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8422931413229192,POSITIVE_BUT_UNCERTAIN,12,1.0,0.01402554532197325,0.18922464831561822
E_SECONDARY_MOISTURE_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_moisture_extreme_stress_z_period2_minus_period1,moisture,mean,full,positive,Combined rainfall soil-water and water-balance domain,15,12,OK,0.01306384039208288,-0.19564137075761215,0.31591492215753686,0.8515987307786185,exact_wild_cluster_sign_flip_4096_patterns,0.5522003168070742,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8794239687576276,POSITIVE_BUT_UNCERTAIN,12,0.75,-0.027523120671688495,0.11664651379471741
E_SECONDARY_RAINFALL_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_rainfall_drought_stress_z_period2_minus_period1,rainfall,mean,full,positive,CHIRPS rainfall drought domain,15,12,OK,-0.028355488862757388,-0.692052653974854,0.34097279064845876,0.7334635098852819,exact_wild_cluster_sign_flip_4096_patterns,0.5532190301007321,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8437594222458326,NEGATIVE_BUT_UNCERTAIN,12,0.16666666666666666,-0.118402888911323,0.061638727782227724
E_SECONDARY_SOIL_WATER_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_soil_water_stress_z_period2_minus_period1,soil_water,mean,full,positive,ERA5-Land soil-water deficit,15,12,OK,-0.0398380353487481,-0.4532915294008862,0.39146482599559446,0.6265560165975104,exact_wild_cluster_sign_flip_4096_patterns,0.5568335044160352,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8437594222458326,NEGATIVE_BUT_UNCERTAIN,12,0.16666666666666666,-0.14743978838649588,0.05350789872109389
E_SECONDARY_WATER_BALANCE_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_water_balance_stress_z_period2_minus_period1,water_balance,mean,full,positive,TerraClimate water-balance domain,15,12,OK,0.06029989359328044,-0.0970842135176502,0.9422532146682062,0.27752013668537956,exact_wild_cluster_sign_flip_4096_patterns,0.580733471597265,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8422931413229192,POSITIVE_BUT_UNCERTAIN,12,0.9166666666666666,-0.0008982576140725729,0.09276617105056639
E_SECONDARY_VEGETATION_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_vegetation_extreme_stress_z_period2_minus_period1,vegetation,mean,full,positive,MODIS EVI stress domain,15,12,OK,-0.0668898691124029,-0.7605744957198102,0.16262945490655756,0.6675616304613131,exact_wild_cluster_sign_flip_4096_patterns,0.5635127583119884,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8437594222458326,NEGATIVE_BUT_UNCERTAIN,12,0.16666666666666666,-0.4263830439223481,0.013437450617895969
E_INDEPENDENT_MODIS_LST_P95,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_modis_lst_day_p95_c_stress_z_period2_minus_period1,independent_surface_heat,mean,full,positive,Independent upper-tail MODIS daytime LST,15,12,OK,-0.1082912016346474,-1.023025686386139,0.814908316287107,0.7119843788137662,exact_wild_cluster_sign_flip_4096_patterns,0.5584353889844741,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8437594222458326,NEGATIVE_BUT_UNCERTAIN,12,0.08333333333333333,-0.28983550568278194,0.1745390648404179
E_INDEPENDENT_CHIRPS_PRECIP,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_chirps_annual_precipitation_mm_stress_z_period2_minus_period1,independent_rainfall,mean,full,positive,Independent CHIRPS annual precipitation deficit,15,12,OK,0.42658873571137207,-2.08163872711913,1.3840194283164688,0.2863070539419087,exact_wild_cluster_sign_flip_4096_patterns,0.5915219148174038,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8422931413229192,POSITIVE_BUT_UNCERTAIN,12,1.0,0.18004619911026395,0.747019269876401
E_INDEPENDENT_TERRACLIMATE_CWD,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_terraclimate_climate_water_deficit_mm_stress_z_period2_minus_period1,independent_water_balance,mean,full,positive,Independent TerraClimate climatic water deficit,15,12,OK,0.08740293713787962,-0.713853755002148,0.8171659320967007,0.5313644129851111,exact_wild_cluster_sign_flip_4096_patterns,0.5637268779822848,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8437594222458326,POSITIVE_BUT_UNCERTAIN,12,0.9166666666666666,-0.05650395042263177,0.15875841658878792
E_INDEPENDENT_MODIS_EVI_P10,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_modis_evi_p10_stress_z_period2_minus_period1,independent_vegetation,mean,full,positive,Independent lower-tail MODIS EVI deficit,15,12,OK,-0.06752090677068578,-0.6875378125787388,0.13916698503405242,0.5943373199902368,exact_wild_cluster_sign_flip_4096_patterns,0.5661905690510669,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8437594222458326,NEGATIVE_BUT_UNCERTAIN,12,0.08333333333333333,-0.3483150504826049,0.013426045811929343
E_SENSITIVITY_COMPOSITE_MAX,sensitivity,resampled_delta_simpson_C3_minus_N0_median,delta_max_extended_stress_composite_z_period2_minus_period1,composite,max,full,positive,Change in worst annual composite stress,15,12,OK,-0.03916926608935036,-0.8904503970600736,0.30203011556382603,0.7549426409567976,exact_wild_cluster_sign_flip_4096_patterns,0.5538011958001448,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8437594222458326,NEGATIVE_BUT_UNCERTAIN,12,0.08333333333333333,-0.29028691389938277,0.07240872662399024
E_SENSITIVITY_COMPOSITE_BURDEN,sensitivity,resampled_delta_simpson_C3_minus_N0_median,delta_burden_extended_stress_composite_z_period2_minus_period1,composite,burden,full,positive,Change in positive cumulative stress burden,15,12,OK,0.084245287067273,-0.6596341418098708,0.30540045817969874,0.5123260922626311,exact_wild_cluster_sign_flip_4096_patterns,0.5713636664015642,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8437594222458326,POSITIVE_BUT_UNCERTAIN,12,0.9166666666666666,-0.06856542060621044,0.1318302660226169
E_SENSITIVITY_COMPOSITE_EXTREME_FRACTION,sensitivity,resampled_delta_simpson_C3_minus_N0_median,delta_extreme_fraction_extended_stress_composite_z_period2_minus_period1,composite,extreme_fraction,full,positive,Change in fraction of years above one SD stress,15,12,OK,-0.02829627299104067,-0.1952339549378318,0.15742138752874493,0.5870148889431291,exact_wild_cluster_sign_flip_4096_patterns,0.555522597215053,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8437594222458326,NEGATIVE_BUT_UNCERTAIN,12,0.16666666666666666,-0.06668474971529213,0.028793468884645977
E_SENSITIVITY_JACCARD,sensitivity,resampled_delta_jaccard_C3_minus_N0_median,delta_mean_extended_stress_composite_z_period2_minus_period1,composite,mean,full,positive,Jaccard response sensitivity,15,12,OK,-0.008294967191033717,-0.3707609196010873,0.11930225886319501,0.8794239687576275,exact_wild_cluster_sign_flip_4096_patterns,0.3623491940745548,log_common_events_1SD;transition_midpoint_1SD;latitude_band_24-26N_vs_23-24N;latitude_band_30-32N_vs_23-24N,,0.8794239687576276,NEGATIVE_BUT_UNCERTAIN,12,0.25,-0.08099969615305812,0.027434235379679595
E_CONTROL_EFFORT_TIME,sensitivity,resampled_delta_simpson_C3_minus_N0_median,delta_mean_extended_stress_composite_z_period2_minus_period1,composite,mean,effort_time,positive,Primary predictor without latitude-band fixed effects,15,12,OK,0.17582784927985945,-0.05717974505693447,0.31953775859896033,0.1359531364412985,exact_wild_cluster_sign_flip_4096_patterns,0.394873457631962,log_common_events_1SD;transition_midpoint_1SD,,0.8422931413229192,POSITIVE_BUT_UNCERTAIN,12,1.0,0.11928272975768986,0.21804448836479753
E_CONTROL_EFFORT_ONLY,sensitivity,resampled_delta_simpson_C3_minus_N0_median,delta_mean_extended_stress_composite_z_period2_minus_period1,composite,mean,effort_only,positive,Primary predictor controlling only sampling effort,15,12,OK,0.16488970494730812,-0.0787476076616884,0.29725333786618696,0.21161825726141079,exact_wild_cluster_sign_flip_4096_patterns,0.25511498797821963,log_common_events_1SD,,0.8422931413229192,POSITIVE_BUT_UNCERTAIN,12,1.0,0.08154756625131522,0.21394213456838554
E_CONTROL_UNADJUSTED,sensitivity,resampled_delta_simpson_C3_minus_N0_median,delta_mean_extended_stress_composite_z_period2_minus_period1,composite,mean,unadjusted,positive,Unadjusted descriptive primary relationship,15,12,OK,0.11672782739922404,-0.09901722002263429,0.2673475984687138,0.32975347815474737,exact_wild_cluster_sign_flip_4096_patterns,0.12104631192245519,,,0.8422931413229192,POSITIVE_BUT_UNCERTAIN,12,1.0,0.02468536171379519,0.15400551938589163
