model_id,omitted_cell,n_pairs,n_cells,coefficient,status
E_PRIMARY_COMPOSITE_MEAN,BJA25K_C+0013_R-0015,13,11,0.03188689416215859,OK
E_PRIMARY_COMPOSITE_MEAN,BJA25K_C+0013_R-0016,13,11,0.006055762809164543,OK
E_PRIMARY_COMPOSITE_MEAN,BJA25K_C+0013_R-0018,14,11,-0.055256575699125156,OK
E_PRIMARY_COMPOSITE_MEAN,BJA25K_C+0014_R-0017,13,11,0.05793792385756974,OK
E_PRIMARY_COMPOSITE_MEAN,BJA25K_C+0015_R-0018,14,11,0.10155949171738445,OK
E_PRIMARY_COMPOSITE_MEAN,BJA25K_C+0016_R-0018,14,11,0.051951326841252615,OK
E_PRIMARY_COMPOSITE_MEAN,BJA25K_C-0010_R+0013,14,11,0.057668751440034915,OK
E_PRIMARY_COMPOSITE_MEAN,BJA25K_C-0011_R+0015,14,11,0.038852354905810384,OK
E_PRIMARY_COMPOSITE_MEAN,BJA25K_C-0011_R+0016,14,11,0.08618742927026879,OK
E_PRIMARY_COMPOSITE_MEAN,BJA25K_C-0012_R+0018,14,11,0.051728769052181794,OK
E_PRIMARY_COMPOSITE_MEAN,BJA25K_C-0012_R+0019,14,11,0.03838771753726514,OK
E_PRIMARY_COMPOSITE_MEAN,BJA25K_C-0013_R+0019,14,11,0.09099136995386724,OK
E_SECONDARY_THERMAL_MEAN,BJA25K_C+0013_R-0015,13,11,0.20323677793954695,OK
E_SECONDARY_THERMAL_MEAN,BJA25K_C+0013_R-0016,13,11,0.02195381202327984,OK
E_SECONDARY_THERMAL_MEAN,BJA25K_C+0013_R-0018,14,11,0.15111624237513016,OK
E_SECONDARY_THERMAL_MEAN,BJA25K_C+0014_R-0017,13,11,0.17955873885015014,OK
E_SECONDARY_THERMAL_MEAN,BJA25K_C+0015_R-0018,14,11,0.2748108519625908,OK
E_SECONDARY_THERMAL_MEAN,BJA25K_C+0016_R-0018,14,11,0.2169483592003765,OK
E_SECONDARY_THERMAL_MEAN,BJA25K_C-0010_R+0013,14,11,0.1502622427016353,OK
E_SECONDARY_THERMAL_MEAN,BJA25K_C-0011_R+0015,14,11,0.18923776515555915,OK
E_SECONDARY_THERMAL_MEAN,BJA25K_C-0011_R+0016,14,11,0.20545020080083562,OK
E_SECONDARY_THERMAL_MEAN,BJA25K_C-0012_R+0018,14,11,0.20565209252998506,OK
E_SECONDARY_THERMAL_MEAN,BJA25K_C-0012_R+0019,14,11,0.19044959185401794,OK
E_SECONDARY_THERMAL_MEAN,BJA25K_C-0013_R+0019,14,11,0.3242122875608356,OK
E_SECONDARY_SURFACE_HEAT_MEAN,BJA25K_C+0013_R-0015,13,11,-0.33507848319463096,OK
E_SECONDARY_SURFACE_HEAT_MEAN,BJA25K_C+0013_R-0016,13,11,-0.400179564498472,OK
E_SECONDARY_SURFACE_HEAT_MEAN,BJA25K_C+0013_R-0018,14,11,-0.5562934362591816,OK
E_SECONDARY_SURFACE_HEAT_MEAN,BJA25K_C+0014_R-0017,13,11,-0.3045866868437015,OK
E_SECONDARY_SURFACE_HEAT_MEAN,BJA25K_C+0015_R-0018,14,11,-0.38439890702221285,OK
E_SECONDARY_SURFACE_HEAT_MEAN,BJA25K_C+0016_R-0018,14,11,-0.4217561983756,OK
E_SECONDARY_SURFACE_HEAT_MEAN,BJA25K_C-0010_R+0013,14,11,-0.5134811158135993,OK
E_SECONDARY_SURFACE_HEAT_MEAN,BJA25K_C-0011_R+0015,14,11,-0.45192189217909134,OK
E_SECONDARY_SURFACE_HEAT_MEAN,BJA25K_C-0011_R+0016,14,11,-0.21200433142572372,OK
E_SECONDARY_SURFACE_HEAT_MEAN,BJA25K_C-0012_R+0018,14,11,-0.41281178319664896,OK
E_SECONDARY_SURFACE_HEAT_MEAN,BJA25K_C-0012_R+0019,14,11,-1.110106375147371,OK
E_SECONDARY_SURFACE_HEAT_MEAN,BJA25K_C-0013_R+0019,14,11,-0.09324866545108784,OK
E_SECONDARY_VPD_MEAN,BJA25K_C+0013_R-0015,13,11,0.13479691130537827,OK
E_SECONDARY_VPD_MEAN,BJA25K_C+0013_R-0016,13,11,0.0769430657486078,OK
E_SECONDARY_VPD_MEAN,BJA25K_C+0013_R-0018,14,11,0.01402554532197325,OK
E_SECONDARY_VPD_MEAN,BJA25K_C+0014_R-0017,13,11,0.13715900012595955,OK
E_SECONDARY_VPD_MEAN,BJA25K_C+0015_R-0018,14,11,0.18922464831561822,OK
E_SECONDARY_VPD_MEAN,BJA25K_C+0016_R-0018,14,11,0.16017561101672267,OK
E_SECONDARY_VPD_MEAN,BJA25K_C-0010_R+0013,14,11,0.17100243472743648,OK
E_SECONDARY_VPD_MEAN,BJA25K_C-0011_R+0015,14,11,0.12676430051427603,OK
E_SECONDARY_VPD_MEAN,BJA25K_C-0011_R+0016,14,11,0.18776888261356448,OK
E_SECONDARY_VPD_MEAN,BJA25K_C-0012_R+0018,14,11,0.14202451917389053,OK
E_SECONDARY_VPD_MEAN,BJA25K_C-0012_R+0019,14,11,0.1295456321579401,OK
E_SECONDARY_VPD_MEAN,BJA25K_C-0013_R+0019,14,11,0.15981148071532647,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C+0013_R-0015,13,11,-0.027523120671688495,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C+0013_R-0016,13,11,0.0003617321109972765,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C+0013_R-0018,14,11,-0.02094425290662911,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C+0014_R-0017,13,11,0.11664651379471741,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C+0015_R-0018,14,11,0.061340047877867926,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C+0016_R-0018,14,11,0.008956253935155034,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C-0010_R+0013,14,11,0.033183296318695266,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C-0011_R+0015,14,11,-0.022963524091981664,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C-0011_R+0016,14,11,0.021907624007563856,OK
E_SECONDARY_MOISTURE_MEAN,BJA25K_C-0012_R+0018,14,11,0.017720715808396497,OK
