pair_id,grid_cell_id,period_1,period_2,scheme,shared_dataset_count,shared_quarter_count,common_event_resample_n,usable
TPAIR_0001,BJA25K_C+0013_R-0015,P2011_2015,P2016_2020,dataset_continuity_strict,1,2,2,1
TPAIR_0001,BJA25K_C+0013_R-0015,P2011_2015,P2016_2020,quarter_continuity_strict,1,2,5,1
TPAIR_0001,BJA25K_C+0013_R-0015,P2011_2015,P2016_2020,dataset_and_quarter_continuity_strict,1,2,2,1
TPAIR_0002,BJA25K_C+0013_R-0015,P2016_2020,P2021_2025,dataset_continuity_strict,1,2,3,1
TPAIR_0002,BJA25K_C+0013_R-0015,P2016_2020,P2021_2025,quarter_continuity_strict,1,2,5,1
TPAIR_0002,BJA25K_C+0013_R-0015,P2016_2020,P2021_2025,dataset_and_quarter_continuity_strict,1,2,3,1
TPAIR_0003,BJA25K_C+0013_R-0016,P2011_2015,P2016_2020,dataset_continuity_strict,1,2,4,1
TPAIR_0003,BJA25K_C+0013_R-0016,P2011_2015,P2016_2020,quarter_continuity_strict,1,2,7,1
TPAIR_0003,BJA25K_C+0013_R-0016,P2011_2015,P2016_2020,dataset_and_quarter_continuity_strict,1,2,3,1
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,dataset_continuity_strict,1,3,4,1
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,quarter_continuity_strict,1,3,8,1
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,dataset_and_quarter_continuity_strict,1,3,4,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,dataset_continuity_strict,1,3,6,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,quarter_continuity_strict,1,3,10,1
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,dataset_and_quarter_continuity_strict,1,3,6,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,dataset_continuity_strict,1,1,1,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,quarter_continuity_strict,1,1,3,1
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,dataset_and_quarter_continuity_strict,1,1,1,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,dataset_continuity_strict,1,1,6,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,quarter_continuity_strict,1,1,9,1
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,dataset_and_quarter_continuity_strict,1,1,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,dataset_continuity_strict,1,2,8,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,quarter_continuity_strict,1,2,5,1
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,dataset_and_quarter_continuity_strict,1,2,5,1
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,dataset_continuity_strict,1,2,5,1
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,quarter_continuity_strict,1,2,3,1
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,dataset_and_quarter_continuity_strict,1,2,3,1
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,dataset_continuity_strict,1,2,1,1
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,quarter_continuity_strict,1,2,3,1
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,dataset_and_quarter_continuity_strict,1,2,0,0
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,dataset_continuity_strict,1,2,15,1
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,quarter_continuity_strict,1,2,15,1
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,dataset_and_quarter_continuity_strict,1,2,15,1
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,dataset_continuity_strict,1,1,10,1
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,quarter_continuity_strict,1,1,8,1
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,dataset_and_quarter_continuity_strict,1,1,8,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,dataset_continuity_strict,1,1,10,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,quarter_continuity_strict,1,1,5,1
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,dataset_and_quarter_continuity_strict,1,1,5,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,dataset_continuity_strict,1,4,129,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,quarter_continuity_strict,1,4,131,1
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,dataset_and_quarter_continuity_strict,1,4,129,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,dataset_continuity_strict,1,4,20,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,quarter_continuity_strict,1,4,20,1
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,dataset_and_quarter_continuity_strict,1,4,20,1
