pair_id,grid_cell_id,period_1,period_2,latitude_band,scheme,common_event_resample_n,shared_dataset_count,shared_quarter_count,resampled_delta_simpson_C3_minus_N0_median,resampled_delta_simpson_C3_minus_N0_q025,resampled_delta_simpson_C3_minus_N0_q975,resampled_delta_jaccard_C3_minus_N0_median,delta_mean_extended_stress_composite_z_period2_minus_period1
TPAIR_0001,BJA25K_C+0013_R-0015,P2011_2015,P2016_2020,24-26N,dataset_continuity_strict,2,1,2,-0.16666666666666663,-1.0,0.5,0.0,-0.03290355962643034
TPAIR_0001,BJA25K_C+0013_R-0015,P2011_2015,P2016_2020,24-26N,quarter_continuity_strict,5,1,2,-0.6666666666666667,-1.0,-0.08333333333333337,-0.09090909090909094,-0.03290355962643034
TPAIR_0001,BJA25K_C+0013_R-0015,P2011_2015,P2016_2020,24-26N,dataset_and_quarter_continuity_strict,2,1,2,-0.16666666666666663,-1.0,0.33333333333333337,0.0,-0.03290355962643034
TPAIR_0002,BJA25K_C+0013_R-0015,P2016_2020,P2021_2025,24-26N,dataset_continuity_strict,3,1,2,0.33333333333333337,0.0,1.0,0.19999999999999996,0.27556604362030435
TPAIR_0002,BJA25K_C+0013_R-0015,P2016_2020,P2021_2025,24-26N,quarter_continuity_strict,5,1,2,0.16666666666666663,-0.33333333333333337,0.6666666666666667,0.11904761904761907,0.27556604362030435
TPAIR_0002,BJA25K_C+0013_R-0015,P2016_2020,P2021_2025,24-26N,dataset_and_quarter_continuity_strict,3,1,2,0.5,0.0,1.0,0.19999999999999996,0.27556604362030435
TPAIR_0003,BJA25K_C+0013_R-0016,P2011_2015,P2016_2020,24-26N,dataset_continuity_strict,4,1,2,-0.06666666666666665,-0.4,0.33333333333333337,-0.05714285714285705,0.11767237075121767
TPAIR_0003,BJA25K_C+0013_R-0016,P2011_2015,P2016_2020,24-26N,quarter_continuity_strict,7,1,2,-0.2666666666666666,-0.4571428571428571,0.08571428571428574,-0.0641025641025641,0.11767237075121767
TPAIR_0003,BJA25K_C+0013_R-0016,P2011_2015,P2016_2020,24-26N,dataset_and_quarter_continuity_strict,3,1,2,-0.25,-0.75,0.33333333333333337,-0.125,0.11767237075121767
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,24-26N,dataset_continuity_strict,4,1,3,-0.3333333333333333,-1.0,0.3333333333333333,-0.20000000000000007,-0.08948203204661655
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,24-26N,quarter_continuity_strict,8,1,3,-0.06666666666666665,-0.5,0.33374999999999966,-0.04166666666666663,-0.08948203204661655
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,24-26N,dataset_and_quarter_continuity_strict,4,1,3,-0.3333333333333333,-1.0,0.3333333333333333,-0.25,-0.08948203204661655
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,23-24N,dataset_continuity_strict,6,1,3,0.6,-0.06666666666666665,1.0,0.28888888888888886,0.5599124418503061
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,23-24N,quarter_continuity_strict,10,1,3,0.4,-0.13374999999999995,0.8,0.1777777777777778,0.5599124418503061
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,23-24N,dataset_and_quarter_continuity_strict,6,1,3,0.46666666666666673,-0.09999999999999998,1.0,0.23809523809523808,0.5599124418503061
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,23-24N,dataset_continuity_strict,1,1,1,-1.0,-1.0,0.0,-1.0,0.05883779392987841
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,23-24N,quarter_continuity_strict,3,1,1,-0.6666666666666667,-1.0,0.0,-0.18181818181818177,0.05883779392987841
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,23-24N,dataset_and_quarter_continuity_strict,1,1,1,-1.0,-1.0,0.0,-1.0,0.05883779392987841
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,23-24N,dataset_continuity_strict,6,1,1,0.16666666666666663,-0.5,0.75,0.0,0.145602522706559
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,23-24N,quarter_continuity_strict,9,1,1,0.25,-0.04999999999999999,0.6,-0.04166666666666663,0.145602522706559
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,23-24N,dataset_and_quarter_continuity_strict,5,1,1,0.3333333333333333,-1.0,1.0,-0.16666666666666663,0.145602522706559
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,23-24N,dataset_continuity_strict,8,1,2,0.30000000000000004,-0.06666666666666665,0.75,0.2333333333333334,-0.17430123239279613
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,23-24N,quarter_continuity_strict,5,1,2,0.5,0.19999999999999996,1.0,0.33333333333333337,-0.17430123239279613
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,23-24N,dataset_and_quarter_continuity_strict,5,1,2,0.5,0.0,1.0,0.2857142857142857,-0.17430123239279613
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,23-24N,dataset_continuity_strict,5,1,2,0.16666666666666669,-0.5,0.75,0.07499999999999996,-0.054602518275765205
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,23-24N,quarter_continuity_strict,3,1,2,0.0,-0.5,0.6666666666666667,0.0,-0.054602518275765205
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,23-24N,dataset_and_quarter_continuity_strict,3,1,2,0.0,-0.5,0.6666666666666667,0.0,-0.054602518275765205
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,30-32N,dataset_continuity_strict,1,1,2,0.0,-1.0,0.0,0.0,-0.22045956284893367
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,30-32N,quarter_continuity_strict,3,1,2,-1.0,-1.0,-1.0,-0.5,-0.22045956284893367
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,30-32N,dataset_continuity_strict,15,1,2,0.1333333333333333,-0.06666666666666671,0.4666666666666666,0.17142857142857143,-0.16188187493570871
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,30-32N,quarter_continuity_strict,15,1,2,0.1333333333333333,-0.06666666666666671,0.1333333333333333,0.17142857142857143,-0.16188187493570871
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,30-32N,dataset_and_quarter_continuity_strict,15,1,2,0.1333333333333333,0.08333333333333331,0.3333333333333333,0.26666666666666666,-0.16188187493570871
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,30-32N,dataset_continuity_strict,10,1,1,0.06666666666666671,-0.3333333333333333,0.6666666666666666,0.15000000000000002,-0.3653233300123664
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,30-32N,quarter_continuity_strict,8,1,1,0.0,-0.5,0.5,0.25,-0.3653233300123664
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,30-32N,dataset_and_quarter_continuity_strict,8,1,1,0.0,-0.5,0.5,0.25,-0.3653233300123664
