threshold,pair_id,grid_cell_id,period_1,period_2,latitude_band,common_event_resample_n,resampled_delta_simpson_C3_minus_N0_median,resampled_delta_simpson_C3_minus_N0_q025,resampled_delta_simpson_C3_minus_N0_q975,resampled_delta_jaccard_C3_minus_N0_median,delta_mean_extended_stress_composite_z_period2_minus_period1
C1_D1_only,C1_D1_only_TPAIR_0001,BJA25K_C+0013_R-0016,P2011_2015,P2016_2020,24-26N,5,0.0,-0.33333333333333337,0.5,0.0,0.11767237075121767
C1_D1_only,C1_D1_only_TPAIR_0002,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,24-26N,5,-0.16666666666666669,-0.6666666666666667,0.41874999999999807,-0.11269841269841274,-0.08948203204661655
C1_D1_only,C1_D1_only_TPAIR_0003,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,23-24N,8,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.15000000000000002,0.5599124418503061
C1_D1_only,C1_D1_only_TPAIR_0004,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,23-24N,3,-0.6666666666666667,-1.0,0.0,-0.32307692307692315,0.05883779392987841
C1_D1_only,C1_D1_only_TPAIR_0005,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,23-24N,9,-0.16666666666666663,-0.6666666666666666,0.4,-0.1785714285714286,0.145602522706559
C1_D1_only,C1_D1_only_TPAIR_0006,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,23-24N,8,0.06666666666666671,-0.2666666666666666,0.5,0.07142857142857142,-0.17430123239279613
C1_D1_only,C1_D1_only_TPAIR_0007,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,30-32N,4,-1.0,-1.0,-0.5,-0.5,-0.22045956284893367
C1_D1_only,C1_D1_only_TPAIR_0008,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,30-32N,15,0.0,-0.2504166666666666,0.25,0.0,-0.16188187493570871
C1_D1_only,C1_D1_only_TPAIR_0009,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,30-32N,10,0.0,-0.3333333333333333,0.5,0.0,-0.3653233300123664
C1_D1_only,C1_D1_only_TPAIR_0010,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,30-32N,10,-0.5,-0.75,0.0,-0.3142857142857143,-0.29994943214222236
C1_D1_only,C1_D1_only_TPAIR_0011,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,30-32N,131,-0.17647058823529413,-0.23529411764705882,0.07352941176470587,-0.018115942028985477,-0.384901072480376
