section,metric,band_1,band_2,label,median,mean,q025,q055,q945,q975,n
adjacent_boundary,simpson_turnover,23-24N,24-26N,23–24°N vs. 24–26°N,-0.23400751171714596,-0.2520142147684374,-0.44,-0.4117647058823529,-0.1168918918918918,-0.0936517913262099,5000
adjacent_boundary,simpson_turnover,24-26N,26-28N,24–26°N vs. 26–28°N,-0.0023669467787114,-0.004794122971044573,-0.22907336915957596,-0.18079069119286512,0.17001813186813158,0.2142857142857143,5000
adjacent_boundary,simpson_turnover,26-28N,28-30N,26–28°N vs. 28–30°N,-0.0968660968660968,-0.09282702322215,-0.3850862068965517,-0.3333333333333333,0.15111352357320082,0.19447463768115894,5000
adjacent_boundary,simpson_turnover,28-30N,30-32N,28–30°N vs. 30–32°N,-0.2222222222222222,-0.21747743607903594,-0.4487179487179488,-0.40504608294930877,-0.016027544924603915,0.032642357642357483,5000
peninsula_mean,simpson_turnover,,,Peninsula-wide mean,-0.14174546679210043,-0.141778199260167,-0.2757434265046144,-0.25003035060177914,-0.03453372438407475,-0.013405706311073868,5000
adjacent_boundary,jaccard_dissimilarity,23-24N,24-26N,23–24°N vs. 24–26°N,-0.0893642542982806,-0.07332831132230268,-0.17377360448225773,-0.16002458022827717,0.0307533539731681,0.0524176294394522,5000
adjacent_boundary,jaccard_dissimilarity,24-26N,26-28N,24–26°N vs. 26–28°N,-0.005074667697642201,-0.007284383454843467,-0.2241379310344827,-0.18305208333333334,0.1580721627313716,0.1945776772247359,5000
adjacent_boundary,jaccard_dissimilarity,26-28N,28-30N,26–28°N vs. 28–30°N,-0.0178571428571429,-0.02235271685251699,-0.20456002331002315,-0.1674670624593364,0.11154746317512261,0.1369047619047618,5000
adjacent_boundary,jaccard_dissimilarity,28-30N,30-32N,28–30°N vs. 30–32°N,0.07748757160521866,0.07497936900511239,-0.06132226270327652,-0.03500671421324334,0.17699003892651421,0.19841453402218748,5000
peninsula_mean,jaccard_dissimilarity,,,Peninsula-wide mean,-0.007552223012844875,-0.006996510656137693,-0.08482010766075991,-0.07080418911181603,0.058462361630650286,0.07238196899641156,5000
