pair_id,grid_cell_id,period_1,period_2,latitude_band,y_observed,resampling_q025,resampling_q975,observation_sd_raw_approx,observation_sd_approx,observation_sd_floor_applied,stress_change_raw,common_event_resample_n,log_common_events_raw,transition_midpoint_raw,stress_change_z
TPAIR_0001,BJA25K_C+0013_R-0015,P2011_2015,P2016_2020,24-26N,-0.4666666666666667,-1.0,0.1666666666666666,0.2976245165393814,0.2976245165393814,0,-0.1754879385978026,5.0,1.791759469228055,2015.5,-0.7536874340816406
TPAIR_0002,BJA25K_C+0013_R-0015,P2016_2020,P2021_2025,24-26N,0.25,-0.3333333333333333,0.75,0.2763656225008543,0.2763656225008543,0,0.5485003448621256,5.0,1.791759469228055,2020.5,1.5125247407801392
TPAIR_0003,BJA25K_C+0013_R-0016,P2011_2015,P2016_2020,24-26N,0.0,-0.3333333333333333,0.4047619047619048,0.1882930614840985,0.1882930614840985,0,0.1260720013476513,8.0,2.1972245773362196,2015.5,0.1902488463358035
TPAIR_0004,BJA25K_C+0013_R-0016,P2016_2020,P2021_2025,24-26N,0.0,-0.5,0.4341666666666659,0.2383122021718902,0.2383122021718902,0,0.1343781326956376,8.0,2.1972245773362196,2020.5,0.21624851569074194
TPAIR_0005,BJA25K_C+0013_R-0018,P2016_2020,P2021_2025,23-24N,0.4666666666666667,-0.0999999999999999,0.8,0.2295960556160942,0.2295960556160942,0,0.7207581727056723,10.0,2.3978952727983707,2020.5,2.051722398522202
TPAIR_0006,BJA25K_C+0014_R-0017,P2011_2015,P2016_2020,23-24N,-0.5,-1.0,0.1666666666666666,0.2976245165393814,0.2976245165393814,0,0.0088350966119479,3.0,1.3862943611198906,2015.5,-0.17672353004778057
TPAIR_0007,BJA25K_C+0014_R-0017,P2016_2020,P2021_2025,23-24N,0.0285714285714285,-0.4,0.5,0.2295960556160942,0.2295960556160942,0,0.4946746848940795,12.0,2.5649493574615367,2020.5,1.3440408457692778
TPAIR_0008,BJA25K_C+0015_R-0018,P2016_2020,P2021_2025,23-24N,0.3,-0.0999999999999999,0.75,0.2168407191929779,0.2168407191929779,0,0.1983681513465493,8.0,2.1972245773362196,2020.5,0.416548662321989
TPAIR_0009,BJA25K_C+0016_R-0018,P2016_2020,P2021_2025,23-24N,0.0833333333333333,-0.5,0.6687499999999982,0.2981559888903441,0.2981559888903441,0,0.171969057581281,5.0,1.791759469228055,2020.5,0.3339148006104963
TPAIR_0010,BJA25K_C-0010_R+0013,P2016_2020,P2021_2025,30-32N,-0.6666666666666667,-1.0,-0.3333333333333333,0.1700711523082179,0.1700711523082179,0,-0.1275288827651853,4.0,1.6094379124341005,2020.5,-0.6035670540896504
TPAIR_0011,BJA25K_C-0011_R+0015,P2016_2020,P2021_2025,30-32N,0.0,-0.1666666666666666,0.3333333333333333,0.1275533642311634,0.1275533642311634,0,-0.1892927873155537,15.0,2.772588722239781,2020.5,-0.7968990674064003
TPAIR_0012,BJA25K_C-0011_R+0016,P2016_2020,P2021_2025,30-32N,0.1666666666666666,-0.3333333333333333,0.6666666666666666,0.2551067284623269,0.2551067284623269,0,-0.3234443071522798,10.0,2.3978952727983707,2020.5,-1.2168171993370906
TPAIR_0013,BJA25K_C-0012_R+0018,P2016_2020,P2021_2025,30-32N,-0.25,-0.5,0.0999999999999999,0.1530640370773962,0.1530640370773962,0,-0.2285986569402851,10.0,2.3978952727983707,2020.5,-0.9199334345668827
TPAIR_0014,BJA25K_C-0012_R+0019,P2016_2020,P2021_2025,30-32N,0.0588235294117646,-0.1098039215686274,0.2124183006535947,0.082201056948972,0.082201056948972,0,-0.2702656941933437,131.0,4.882801922586371,2020.5,-1.0503586766191968
TPAIR_0015,BJA25K_C-0013_R+0019,P2016_2020,P2021_2025,30-32N,-0.5142857142857143,-0.8,-0.2278571428571436,0.1459574924988026,0.1459574924988026,0,-0.1095412025881308,20.0,3.044522437723423,2020.5,-0.5472624138820068
