genus,evidence_class,analysis_class
Abrolophus,N0,non_ballooning
Acacesia,D1,ballooning
Aceria,N0,non_ballooning
Aculops,N0,non_ballooning
Agelenopsis,D2,ballooning
Allocosa,D3,ballooning
Allocyclosa,D4,excluded_D4
Alloptes,N0,non_ballooning
Allothrombium,N0,non_ballooning
Alopecosa,D2,ballooning
Ammotrechula,N0,non_ballooning
Androlaelaps,N0,non_ballooning
Anelosimus,D1,ballooning
Anuroctonus,N0,non_ballooning
Anyphaena,D1,ballooning
Aphonopelma,N0,non_ballooning
Aptostichus,N0,non_ballooning
Araneus,D1,ballooning
Araniella,D1,ballooning
Arctosa,D1,ballooning
Argiope,D1,ballooning
Ariadna,N0,non_ballooning
Ariamnes,D3,ballooning
Arrenurus,N0,non_ballooning
Artema,N0,non_ballooning
Asagena,D1,ballooning
Atractides,N0,non_ballooning
Attinella,D4,excluded_D4
Augustsonella,N0,non_ballooning
Badumna,D2,ballooning
Bajacalilena,D4,excluded_D4
Balaustium,N0,non_ballooning
Balmaceda,D3,ballooning
Bdellodes,N0,non_ballooning
Bioculus,N0,non_ballooning
Blabomma,D4,excluded_D4
Bothriocyrtum,N0,non_ballooning
Branchia,N0,non_ballooning
Caeculisoma,N0,non_ballooning
Califorctenus,N0,non_ballooning
Callidalena,D4,excluded_D4
Camptocosa,D4,excluded_D4
Castianeira,D2,ballooning
Centruroides,N0,non_ballooning
Cesonia,D1,ballooning
Chanbria,N0,non_ballooning
Chatia,N0,non_ballooning
Chaussieria,N0,non_ballooning
Cheiracanthium,D1,ballooning
Cinetomorpha,D4,excluded_D4
Citharoceps,N0,non_ballooning
Coelotes,D4,excluded_D4
Colonus,D4,excluded_D4
Creugas,D3,ballooning
Ctenacarus,N0,non_ballooning
Cupiennius,N0,non_ballooning
Curicaberis,N0,non_ballooning
Cyclosa,D2,ballooning
Dalquestia,N0,non_ballooning
Dendryphantes,D3,ballooning
Dermacentor,N0,non_ballooning
Dermadelema,N0,non_ballooning
Diaea,D1,ballooning
Dictis,N0,non_ballooning
Dictyna,D1,ballooning
Diguetia,N0,non_ballooning
Dinocheirus,N0,non_ballooning
Diomedacarus,N0,non_ballooning
Dolomedes,N0,non_ballooning
Drassodes,D3,ballooning
Drassyllus,D2,ballooning
Dysdera,D1,ballooning
Echinonyssus,N0,non_ballooning
Edricus,D4,excluded_D4
Eidmannella,D4,excluded_D4
Emblyna,D2,ballooning
Enemothrombium,N0,non_ballooning
Eremobates,N0,non_ballooning
Eremochelis,N0,non_ballooning
Eremocosta,N0,non_ballooning
Eremorhax,N0,non_ballooning
Eriophora,D2,ballooning
Erythracarus,N0,non_ballooning
Erythraeus,N0,non_ballooning
Escaphiella,D4,excluded_D4
Euagrus,N0,non_ballooning
Eucteniza,N0,non_ballooning
