band_1,band_1_label,band_2,band_2_label,adjacent,trait_class,trait_label,metric,n,mean,median,sd,p025,p975
23-24N,23–24°N,24-26N,24–26°N,True,ballooning,Ballooning-capable,shared_genera,5000,25.3936,30.0,7.816629643253924,12.0,35.0
23-24N,23–24°N,24-26N,24–26°N,True,ballooning,Ballooning-capable,unique_to_band_1,5000,30.6064,26.0,7.816629643253924,21.0,44.0
23-24N,23–24°N,24-26N,24–26°N,True,ballooning,Ballooning-capable,unique_to_band_2,5000,3.2896,4.0,2.0769676451307046,0.0,6.0
23-24N,23–24°N,24-26N,24–26°N,True,ballooning,Ballooning-capable,jaccard_total,5000,0.5754007886053415,0.5081967213114754,0.11954607967952363,0.43333333333333335,0.7894736842105263
23-24N,23–24°N,24-26N,24–26°N,True,ballooning,Ballooning-capable,jaccard_turnover,5000,0.18235580365208667,0.21052631578947367,0.07995728411964895,0.0,0.27906976744186046
23-24N,23–24°N,24-26N,24–26°N,True,ballooning,Ballooning-capable,jaccard_nestedness,5000,0.3930449849532548,0.277825711820535,0.1834818028614874,0.19074333800841514,0.75
23-24N,23–24°N,24-26N,24–26°N,True,ballooning,Ballooning-capable,sorensen_total,5000,0.4142525206273072,0.34065934065934067,0.12357284071735966,0.2765957446808511,0.6521739130434783
23-24N,23–24°N,24-26N,24–26°N,True,ballooning,Ballooning-capable,simpson_replacement,5000,0.10238146802727854,0.11764705882352941,0.04679395296887681,0.0,0.16216216216216217
23-24N,23–24°N,24-26N,24–26°N,True,ballooning,Ballooning-capable,sorensen_nestedness,5000,0.31187105260002873,0.2043956043956044,0.15881873943312325,0.1416666666666667,0.6
23-24N,23–24°N,24-26N,24–26°N,True,non_ballooning,Non-ballooning,shared_genera,5000,30.6738,31.0,6.395684053711767,18.0,40.0
23-24N,23–24°N,24-26N,24–26°N,True,non_ballooning,Non-ballooning,unique_to_band_1,5000,39.3262,39.0,6.395684053711767,30.0,52.0
23-24N,23–24°N,24-26N,24–26°N,True,non_ballooning,Non-ballooning,unique_to_band_2,5000,16.9678,18.0,4.88527750975003,9.0,24.0
23-24N,23–24°N,24-26N,24–26°N,True,non_ballooning,Non-ballooning,jaccard_total,5000,0.6485481101641836,0.6404494382022472,0.06548159390804818,0.5604395604395604,0.7804878048780488
