band_1,band_1_label,band_2,band_2_label,adjacent,metric,contrast,n,mean,median,sd,p025,p975
23-24N,23–24°N,24-26N,24–26°N,True,jaccard_total,ballooning_minus_non_ballooning,5000,-0.07314732155884206,-0.0875576036866359,0.06427717700457466,-0.17500288018433177,0.04747386759581884
23-24N,23–24°N,24-26N,24–26°N,True,jaccard_turnover,ballooning_minus_non_ballooning,5000,-0.3372270981887235,-0.3040272263187749,0.13113972644149885,-0.6086956521739131,-0.13345298358643973
23-24N,23–24°N,24-26N,24–26°N,True,jaccard_nestedness,ballooning_minus_non_ballooning,5000,0.26407977662988147,0.19746046636290537,0.1764381685977842,0.010632225014830589,0.5879635722800479
23-24N,23–24°N,24-26N,24–26°N,True,sorensen_total,ballooning_minus_non_ballooning,5000,-0.06920756548515329,-0.08404981920449978,0.06235618307229089,-0.16667792268281326,0.060987282920826
23-24N,23–24°N,24-26N,24–26°N,True,simpson_replacement,ballooning_minus_non_ballooning,5000,-0.25113865605329005,-0.2322967333213235,0.0959156753521665,-0.4375,-0.09523809523809523
23-24N,23–24°N,24-26N,24–26°N,True,sorensen_nestedness,ballooning_minus_non_ballooning,5000,0.18193109056813678,0.1333200500618879,0.13907401933541133,-0.027266426293616978,0.4139051504794539
23-24N,23–24°N,26-28N,26–28°N,False,jaccard_total,ballooning_minus_non_ballooning,5000,-0.00241179942185958,0.0,0.05274213991848629,-0.1041239462292094,0.09047182775996343
23-24N,23–24°N,26-28N,26–28°N,False,jaccard_turnover,ballooning_minus_non_ballooning,5000,-0.22107454597136683,-0.21680216802168023,0.11896306904830378,-0.47058823529411764,0.0
23-24N,23–24°N,26-28N,26–28°N,False,jaccard_nestedness,ballooning_minus_non_ballooning,5000,0.21866274654950726,0.21043980999418757,0.10737046589705611,0.0315860751650801,0.4692222523104875
23-24N,23–24°N,26-28N,26–28°N,False,sorensen_total,ballooning_minus_non_ballooning,5000,-0.0012072036958910089,0.0,0.06626044537936787,-0.12724868320242216,0.11870859924725899
23-24N,23–24°N,26-28N,26–28°N,False,simpson_replacement,ballooning_minus_non_ballooning,5000,-0.15086234021941713,-0.1497584541062802,0.0796994858184826,-0.3076923076923077,0.0
23-24N,23–24°N,26-28N,26–28°N,False,sorensen_nestedness,ballooning_minus_non_ballooning,5000,0.14965513652352613,0.14188596491228073,0.07925451801192399,0.015250309064742062,0.3277871696532606
23-24N,23–24°N,28-30N,28–30°N,False,jaccard_total,ballooning_minus_non_ballooning,5000,0.01970151515823623,0.019293924466338264,0.03162501615560803,-0.04166666666666663,0.08346394984326022
23-24N,23–24°N,28-30N,28–30°N,False,jaccard_turnover,ballooning_minus_non_ballooning,5000,-0.45916223819422475,-0.44999999999999996,0.11054814613630426,-0.690944055944056,-0.2637362637362637
23-24N,23–24°N,28-30N,28–30°N,False,jaccard_nestedness,ballooning_minus_non_ballooning,5000,0.47886375335246095,0.47210578472468123,0.09899614389640038,0.31409414340448827,0.6926406926406926
23-24N,23–24°N,28-30N,28–30°N,False,sorensen_total,ballooning_minus_non_ballooning,5000,0.027936602201710473,0.026986052152819906,0.04495257082627704,-0.05936486048020767,0.1196927981451964
23-24N,23–24°N,28-30N,28–30°N,False,simpson_replacement,ballooning_minus_non_ballooning,5000,-0.36676400492791694,-0.3682795698924731,0.08032748235419968,-0.5278186274509804,-0.21264367816091953
23-24N,23–24°N,28-30N,28–30°N,False,sorensen_nestedness,ballooning_minus_non_ballooning,5000,0.3947006071296274,0.3934965228708601,0.06739931136511615,0.26616161616161615,0.5340970557501995
23-24N,23–24°N,30-32N,30–32°N,False,jaccard_total,ballooning_minus_non_ballooning,5000,-0.1769719137830339,-0.17719911082883455,0.057805110285127866,-0.26810297980725045,-0.07058450998313838
23-24N,23–24°N,30-32N,30–32°N,False,jaccard_turnover,ballooning_minus_non_ballooning,5000,-0.22296478794938854,-0.22230950510604874,0.05427115434905972,-0.337059031184174,-0.11455208441750801
