"Assemblage","T","U","S.obs","SC","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10"
"band||23-24N||ballooning",22,206,56,0.8919,23,8,3,4,3,5,3,1,0,2
"band||23-24N||non_ballooning",22,251,70,0.8599,36,9,3,4,1,2,3,3,2,1
"band||24-26N||ballooning",40,99,42,0.7293,27,4,3,3,1,0,2,0,0,0
"band||24-26N||non_ballooning",40,167,66,0.8063,33,13,9,2,1,4,1,0,1,0
"band||26-28N||ballooning",52,67,27,0.8238,12,5,7,1,0,0,0,0,1,0
"band||26-28N||non_ballooning",52,141,39,0.9105,13,10,4,3,1,3,2,0,0,1
"band||28-30N||ballooning",38,47,16,0.7884,10,1,2,0,1,0,0,0,0,1
"band||28-30N||non_ballooning",38,105,46,0.7279,29,8,2,1,1,2,0,0,1,0
"band||30-32N||ballooning",53,239,56,0.9097,22,11,4,7,2,1,0,1,0,1
"band||30-32N||non_ballooning",53,203,63,0.8442,32,10,5,4,1,3,2,0,2,1
"adjacent_pair_pool||23-24N__24-26N||ballooning",62,305,62,0.9322,21,10,6,2,3,5,1,3,1,2
"adjacent_pair_pool||23-24N__24-26N||non_ballooning",62,418,96,0.8981,43,13,12,4,2,2,1,2,2,4
"adjacent_pair_pool||24-26N__26-28N||ballooning",92,166,46,0.8744,21,7,4,4,2,1,2,0,1,2
"adjacent_pair_pool||24-26N__26-28N||non_ballooning",92,308,72,0.9065,29,9,7,9,4,1,2,0,2,2
"adjacent_pair_pool||26-28N__28-30N||ballooning",90,114,31,0.8959,12,6,5,4,0,1,0,0,1,0
"adjacent_pair_pool||26-28N__28-30N||non_ballooning",90,246,64,0.8748,31,9,3,7,2,1,3,3,1,1
"adjacent_pair_pool||28-30N__30-32N||ballooning",91,286,60,0.9171,24,13,4,4,3,2,0,1,1,1
"adjacent_pair_pool||28-30N__30-32N||non_ballooning",91,308,82,0.8711,40,13,8,3,3,3,2,2,0,2
