"key","t","Method","Order.q","SC","qD","qD.LCL","qD.UCL","scope","assemblage","assemblage_label","trait_class","trait_label","n_sampling_units","target_coverage"
"band||23-24N||ballooning",5.89309728727928,"Rarefaction",0,0.727900510556041,31.4094192568711,26.2031947313026,36.6156437824397,"band","23-24N","23–24°N","ballooning","Ballooning-capable",22,0.7279
"band||23-24N||ballooning",5.89309728727928,"Rarefaction",1,0.727900510556041,27.1444367911023,23.0359087078913,31.2529648743132,"band","23-24N","23–24°N","ballooning","Ballooning-capable",22,0.7279
"band||23-24N||ballooning",5.89309728727928,"Rarefaction",2,0.727900510556041,23.5741876311411,20.2834767518755,26.8648985104067,"band","23-24N","23–24°N","ballooning","Ballooning-capable",22,0.7279
"band||23-24N||non_ballooning",5.6727184307528,"Rarefaction",0,0.727900049725926,35.1968283023921,28.6918653178338,41.7017912869504,"band","23-24N","23–24°N","non_ballooning","Non-ballooning",22,0.7279
"band||23-24N||non_ballooning",5.6727184307528,"Rarefaction",1,0.727900049725926,29.6699511300582,25.0041649534496,34.3357373066668,"band","23-24N","23–24°N","non_ballooning","Non-ballooning",22,0.7279
"band||23-24N||non_ballooning",5.6727184307528,"Rarefaction",2,0.727900049725926,25.2616425197631,21.8364293778508,28.6868556616755,"band","23-24N","23–24°N","non_ballooning","Non-ballooning",22,0.7279
"band||24-26N||ballooning",39.3050291367611,"Rarefaction",0,0.72789998280201,41.5308946673137,15.8320307160388,67.2297586185887,"band","24-26N","24–26°N","ballooning","Ballooning-capable",40,0.7279
"band||24-26N||ballooning",39.3050291367611,"Rarefaction",1,0.72789998280201,27.2810073915857,15.3242260438347,39.2377887393368,"band","24-26N","24–26°N","ballooning","Ballooning-capable",40,0.7279
"band||24-26N||ballooning",39.3050291367611,"Rarefaction",2,0.72789998280201,18.4727376778396,12.3373717148015,24.6081036408777,"band","24-26N","24–26°N","ballooning","Ballooning-capable",40,0.7279
"band||24-26N||non_ballooning",25.5387914063425,"Rarefaction",0,0.727899973223102,52.0417232381283,41.3148810312604,62.7685654449961,"band","24-26N","24–26°N","non_ballooning","Non-ballooning",40,0.7279
"band||24-26N||non_ballooning",25.5387914063425,"Rarefaction",1,0.727899973223102,38.8933003215558,31.5758301932461,46.2107704498655,"band","24-26N","24–26°N","non_ballooning","Non-ballooning",40,0.7279
"band||24-26N||non_ballooning",25.5387914063425,"Rarefaction",2,0.727899973223102,28.1455013842912,22.6418100980579,33.6491926705245,"band","24-26N","24–26°N","non_ballooning","Non-ballooning",40,0.7279
"band||26-28N||ballooning",32.9542758724119,"Rarefaction",0,0.727900146449686,21.632852883731,14.4934793914241,28.7722263760379,"band","26-28N","26–28°N","ballooning","Ballooning-capable",52,0.7279
"band||26-28N||ballooning",32.9542758724119,"Rarefaction",1,0.727900146449686,16.8816399110994,11.9271504829302,21.8361293392686,"band","26-28N","26–28°N","ballooning","Ballooning-capable",52,0.7279
"band||26-28N||ballooning",32.9542758724119,"Rarefaction",2,0.727900146449686,12.8647715288406,8.87640056694417,16.853142490737,"band","26-28N","26–28°N","ballooning","Ballooning-capable",52,0.7279
"band||26-28N||non_ballooning",17.5882548752604,"Rarefaction",0,0.727900120619253,23.9666796699236,19.6139076436515,28.3194516961957,"band","26-28N","26–28°N","non_ballooning","Non-ballooning",52,0.7279
"band||26-28N||non_ballooning",17.5882548752604,"Rarefaction",1,0.727900120619253,18.6165668551305,15.3870950280701,21.8460386821908,"band","26-28N","26–28°N","non_ballooning","Non-ballooning",52,0.7279
"band||26-28N||non_ballooning",17.5882548752604,"Rarefaction",2,0.727900120619253,14.3002489892451,11.7068391145063,16.8936588639839,"band","26-28N","26–28°N","non_ballooning","Non-ballooning",52,0.7279
"band||28-30N||ballooning",18.2835205237541,"Rarefaction",0,0.727899963985328,10.2610317036413,0,31.7333524096843,"band","28-30N","28–30°N","ballooning","Ballooning-capable",38,0.7279
