"pair","band_1","band_2","trait_class","q_order","alpha_equal_weight","gamma_pooled","hill_beta_gamma_over_alpha","target_coverage"
"23-24N__24-26N","23-24N","24-26N","ballooning",0,36.4701569620924,31.0012178325809,0.850043444145414,0.7279
"23-24N__24-26N","23-24N","24-26N","ballooning",1,27.2126364165344,25.5742341621525,0.939792593804458,0.7279
"23-24N__24-26N","23-24N","24-26N","ballooning",2,20.713989471436,21.1010717351972,1.01868699722451,0.7279
"23-24N__24-26N","23-24N","24-26N","non_ballooning",0,43.6192757702602,44.7198978991818,1.02523247141283,0.7279
"23-24N__24-26N","23-24N","24-26N","non_ballooning",1,33.9700208982455,35.1308007371518,1.0341707131233,0.7279
"23-24N__24-26N","23-24N","24-26N","non_ballooning",2,26.625711189004,27.5178368977672,1.03350617387947,0.7279
"24-26N__26-28N","24-26N","26-28N","ballooning",0,31.5818737755224,26.1488751106248,0.827970984131144,0.7279
"24-26N__26-28N","24-26N","26-28N","ballooning",1,21.4603854391479,19.608511135422,0.913707313926073,0.7279
"24-26N__26-28N","24-26N","26-28N","ballooning",2,15.1669711954613,14.5379906384807,0.958529587161816,0.7279
"24-26N__26-28N","24-26N","26-28N","non_ballooning",0,38.0042014540259,37.6954965374382,0.991877084512322,0.7279
"24-26N__26-28N","24-26N","26-28N","non_ballooning",1,26.9083579144643,28.4138382415641,1.05594842806408,0.7279
"24-26N__26-28N","24-26N","26-28N","non_ballooning",2,18.9648044471112,20.7603455811873,1.09467754540172,0.7279
"26-28N__28-30N","26-28N","28-30N","ballooning",0,15.9469422936861,18.5866036240579,1.16552774078934,0.7279
"26-28N__28-30N","26-28N","28-30N","ballooning",1,11.1990430072474,13.0134367589615,1.16201328546912,0.7279
"26-28N__28-30N","26-28N","28-30N","ballooning",2,7.79859069427896,9.05416013573633,1.1609995306432,0.7279
"26-28N__28-30N","26-28N","28-30N","non_ballooning",0,34.9864035685144,33.5740298604878,0.959630783276687,0.7279
"26-28N__28-30N","26-28N","28-30N","non_ballooning",1,23.5512562372652,24.2790647133719,1.03090317003791,0.7279
"26-28N__28-30N","26-28N","28-30N","non_ballooning",2,16.5299059424288,17.2906434691507,1.04602189083056,0.7279
"28-30N__30-32N","28-30N","30-32N","ballooning",0,19.0578098787512,26.3829740426567,1.38436547591299,0.7279
"28-30N__30-32N","28-30N","30-32N","ballooning",1,12.7249628477248,19.7743163072831,1.55397831364346,0.7279
"28-30N__30-32N","28-30N","30-32N","ballooning",2,8.45266669565525,14.9698960573863,1.77102642235745,0.7279
"28-30N__30-32N","28-30N","30-32N","non_ballooning",0,42.0473605456608,43.0459395116426,1.02374890963483,0.7279
"28-30N__30-32N","28-30N","30-32N","non_ballooning",1,28.9320909139377,30.5907048286672,1.05732782741708,0.7279
"28-30N__30-32N","28-30N","30-32N","non_ballooning",2,19.9889183180249,21.2032134161256,1.06074841463561,0.7279
