model_id,tier,response,predictor,family,summary_mode,control_set,direction,description
E_PRIMARY_COMPOSITE_MEAN,primary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_extended_stress_composite_z_period2_minus_period1,composite,mean,full,positive,Primary expanded H3 test using independent and extreme-event stress domains
E_SECONDARY_THERMAL_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_thermal_extreme_stress_z_period2_minus_period1,thermal,mean,full,positive,Thermal extreme domain
E_SECONDARY_SURFACE_HEAT_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_surface_heat_stress_z_period2_minus_period1,surface_heat,mean,full,positive,MODIS land-surface heat domain
E_SECONDARY_VPD_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_vpd_extreme_stress_z_period2_minus_period1,vpd,mean,full,positive,VPD extreme domain
E_SECONDARY_MOISTURE_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_moisture_extreme_stress_z_period2_minus_period1,moisture,mean,full,positive,Combined rainfall soil-water and water-balance domain
E_SECONDARY_RAINFALL_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_rainfall_drought_stress_z_period2_minus_period1,rainfall,mean,full,positive,CHIRPS rainfall drought domain
E_SECONDARY_SOIL_WATER_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_soil_water_stress_z_period2_minus_period1,soil_water,mean,full,positive,ERA5-Land soil-water deficit
E_SECONDARY_WATER_BALANCE_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_water_balance_stress_z_period2_minus_period1,water_balance,mean,full,positive,TerraClimate water-balance domain
E_SECONDARY_VEGETATION_MEAN,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_vegetation_extreme_stress_z_period2_minus_period1,vegetation,mean,full,positive,MODIS EVI stress domain
E_INDEPENDENT_MODIS_LST_P95,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_modis_lst_day_p95_c_stress_z_period2_minus_period1,independent_surface_heat,mean,full,positive,Independent upper-tail MODIS daytime LST
E_INDEPENDENT_CHIRPS_PRECIP,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_chirps_annual_precipitation_mm_stress_z_period2_minus_period1,independent_rainfall,mean,full,positive,Independent CHIRPS annual precipitation deficit
E_INDEPENDENT_TERRACLIMATE_CWD,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_terraclimate_climate_water_deficit_mm_stress_z_period2_minus_period1,independent_water_balance,mean,full,positive,Independent TerraClimate climatic water deficit
E_INDEPENDENT_MODIS_EVI_P10,secondary,resampled_delta_simpson_C3_minus_N0_median,delta_mean_modis_evi_p10_stress_z_period2_minus_period1,independent_vegetation,mean,full,positive,Independent lower-tail MODIS EVI deficit
E_SENSITIVITY_COMPOSITE_MAX,sensitivity,resampled_delta_simpson_C3_minus_N0_median,delta_max_extended_stress_composite_z_period2_minus_period1,composite,max,full,positive,Change in worst annual composite stress
E_SENSITIVITY_COMPOSITE_BURDEN,sensitivity,resampled_delta_simpson_C3_minus_N0_median,delta_burden_extended_stress_composite_z_period2_minus_period1,composite,burden,full,positive,Change in positive cumulative stress burden
E_SENSITIVITY_COMPOSITE_EXTREME_FRACTION,sensitivity,resampled_delta_simpson_C3_minus_N0_median,delta_extreme_fraction_extended_stress_composite_z_period2_minus_period1,composite,extreme_fraction,full,positive,Change in fraction of years above one SD stress
E_SENSITIVITY_JACCARD,sensitivity,resampled_delta_jaccard_C3_minus_N0_median,delta_mean_extended_stress_composite_z_period2_minus_period1,composite,mean,full,positive,Jaccard response sensitivity
E_CONTROL_EFFORT_TIME,sensitivity,resampled_delta_simpson_C3_minus_N0_median,delta_mean_extended_stress_composite_z_period2_minus_period1,composite,mean,effort_time,positive,Primary predictor without latitude-band fixed effects
E_CONTROL_EFFORT_ONLY,sensitivity,resampled_delta_simpson_C3_minus_N0_median,delta_mean_extended_stress_composite_z_period2_minus_period1,composite,mean,effort_only,positive,Primary predictor controlling only sampling effort
E_CONTROL_UNADJUSTED,sensitivity,resampled_delta_simpson_C3_minus_N0_median,delta_mean_extended_stress_composite_z_period2_minus_period1,composite,mean,unadjusted,positive,Unadjusted descriptive primary relationship
